rank,name,solved,recent
517,(seungheeye),38,1059
228,tapiko,71,1061
119,bosscq,102,1064
243,milkiss,69,1066
613,LEEEEEEEEEE,31,1068
68,(juncoder),134,1071
36,(mecatos95d),188,1074
383,(albert_park),52,1081
375,AmorEtSpero,53,1083
637,angelosck,30,1085
396,ybjeon01,51,1089
167,Hydrogen,84,1094
278,hylee,66,1098
104,Abalcon,110,1100
77,bam8695,129,1102
505,(biscuit_03),39,1104
612,myhb9188,31,1116
695,geekjun,26,1119
193,ironlung,77,1120
553,c0untd0wn,35,1123
217,hnjang810,72,1125
694,zoshs7,26,1126
693,Salmonjoon,26,1127
188,(JohnSeo),78,1128
431,reiphiel,48,1129
479,prime73,42,1134
54,pjsdream,157,1136
692,Gubug,26,1147
51,yongwhan,160,1157
564,(jyh1124),34,1161
315,JongMan,61,1166
374,hyunhwan,53,1173
382,yoloseem,52,1174
136,(123harim),95,1184
283,bookman01,65,1187
691,elijah6,26,1202
690,pslave1,26,1205
277,irisagfe,66,1210
321,optatum,60,1215
411,jacgyver,50,1215
357,yimjy1996,55,1217
103,insikk,110,1225
330,protos37,59,1227
108,PhoBiA,107,1228
593,eungkwon,32,1235
723,SGIL,25,1246
722,w2ok78,25,1249
373,etoilebleu06,53,1269
335,(tintin5108),58,1273
438,kipa00,47,1276
297,wsh0509,63,1285
583,x86kernel,33,1285
10,kcm1700,257,1291
552,bkangel,35,1294
551,lucendo,35,1298
19,ipkn,218,1301
81,kazel,127,1302
592,JanAson,32,1304
256,philmasterplus,68,1310
45,Breakun,170,1321
236,dpp5411,70,1323
636,(rohjoon),30,1332
356,(DarkAngel),55,1337
255,caooeep,68,1341
349,(lkkpou),56,1341
372,rhs0266,53,1360
227,jykim,71,1373
289,cramade,64,1373
102,tpzcln,110,1375
355,yeonseung.kim,55,1375
582,nkcyj,33,1378
334,hakenstock,58,1379
410,akalidos,50,1395
563,kernel0,34,1403
67,ychoi100,137,1416
635,zedoul,30,1424
235,jupiter7,70,1428
13,JiminP,238,1430
611,shaegis,31,1430
474,sru,43,1433
538,dayrainbow94,36,1437
320,coprime,60,1443
46,lem,165,1444
254,JAYS,68,1450
478,salqueng,42,1454
30,00,199,1458
591,kwzhang,32,1458
430,irondog,48,1459
9,(sunleonid),261,1523
550,Backspe,35,1525
495,allurecat,40,1527
192,seaguy,77,1528
333,(mighty93),58,1528
537,ahnhyungseo,36,1530
305,swchoi06,62,1531
314,i274,61,1540
516,taeminhong,38,1540
673,bongya,27,1543
460,ybbarng,45,1546
296,kchhero,63,1547
101,neurome,110,1552
253,hacysean,68,1553
429,kjlucid,48,1553
114,panda,105,1556
156,sanhalee,87,1562
73,hij8765,131,1571
116,ehooizlo,104,1574
494,(gs13105),40,1575
159,gs13068,86,1576
536,comemail,36,1577
269,heemin32,67,1593
395,greentec,51,1593
634,oysiya,30,1595
129,kiyohwan,97,1597
174,(ksthiv),82,1598
2,hongraejo,412,1605
204,ltdtl,75,1607
444,(kjk6463),46,1612
146,skxmremd,89,1620
394,glastonbury,51,1621
40,udaque,181,1622
521,synthdnb,37,1623
659,gmltjd0911,28,1624
504,kangbosun,39,1625
562,(antest_1),34,1628
535,xbfld,36,1632
319,bst1206,60,1634
633,(azyu),30,1635
155,wonyoung,87,1640
393,eva0071,51,1640
581,(leemyungheon),33,1640
282,yxp30,65,1641
203,solmonk,75,1642
658,(xenon054),28,1650
549,kevin0960,35,1652
268,ibato,67,1657
348,(rynn5419),56,1658
70,yadi0119,132,1668
276,StarNK,66,1674
561,nacyot,34,1685
672,mathicalee,27,1686
166,sjnam,84,1687
304,(kismp123),62,1687
534,Minji,36,1692
632,bloodt,30,1693
226,shwlinux,71,1694
371,yunskim,53,1712
392,(spyrogira256),51,1715
493,evil872,40,1716
20,communia,210,1721
191,sukjoony,77,1723
548,Kivoloid,35,1738
721,raspuna,25,1739
631,sjyoon,30,1741
