|-------+----------------------------------+--------+---------|
|  rank | name                             | solved | recent  |
|  143  | kurikuri999                      | 160    | 291     |
|  144  | 2ndmk2                           | 158    | 1686    |
|  145  | trinitrotoluene                  | 157    | 1452    |
|  146  | takonoashi                       | 157    | 763     |
|  147  | deltacat                         | 157    | 55      |
|  148  | (utmath)                         | 157    | 4       |
|  149  | foota                            | 156    | 2995    |
|  150  | mei_narou                        | 156    | 324     |
|  151  | altnelico1                       | 156    | 63      |
|  152  | yatt                             | 155    | 2025    |
|  153  | taiji                            | 155    | 2003    |
|  154  | peanutsjamjam                    | 154    | 1914    |
|  155  | zawisha                          | 154    | 89      |
|  156  | hidetakak2                       | 154    | 2       |
|  157  | nogz                             | 153    | 2677    |
|  158  | pprk                             | 153    | 2569    |
|  159  | shimizu1950                      | 153    | 2535    |
|  160  | makkin-2                         | 152    | 613     |
|  161  | todo                             | 152    | 90      |
|  162  | katsu33                          | 151    | 2028    |
|  163  | arkhe                            | 151    | 532     |
|  164  | noriok                           | 151    | 61      |
|  165  | shuyo                            | 150    | 2825    |
|  166  | takayuki                         | 150    | 2779    |
|  167  | hm00061                          | 150    | 2722    |
|  168  | nisshy                           | 150    | 1278    |
|  169  | fooractal                        | 150    | 452     |
|  170  | masaaki                          | 148    | 1744    |
|  171  | (pute293)                        | 148    | 1131    |
|  172  | itchyny                          | 148    | 942     |
|  173  | kinjo.yukari                     | 148    | 603     |
|  174  | clotz.sugar                      | 148    | 255     |
|  175  | kyunkyun                         | 147    | 1523    |
|  176  | nobsun                           | 146    | 2568    |
|  177  | magickmaster                     | 146    | 1718    |
|  178  | akipom                           | 146    | 211     |
|  179  | TakahisaC7                       | 146    | 184     |
|  180  | mune.k                           | 145    | 1639    |
|  181  | tounai                           | 145    | 1422    |
|  182  | leafmoon                         | 145    | 1030    |
|  183  | maehrm                           | 145    | 790     |
|  184  | kei10in                          | 145    | 754     |
|  185  | srd7                             | 145    | 683     |
|  186  | Yuichiroh                        | 145    | 296     |
|  187  | 186                              | 144    | 2692    |
|  188  | kimit                            | 144    | 997     |
|  189  | xyz600                           | 144    | 354     |
|  190  | lpocean                          | 143    | 2613    |
|  191  | (mikeCAT)                        | 143    | 1330    |
|  192  | senna                            | 142    | 3498    |
|  193  | (NokubiTadaharu)                 | 142    | 2099    |
|  194  | oteru50                          | 141    | 70      |
|  195  | okagawa                          | 140    | 2601    |
|  196  | masahiroakiko                    | 140    | 2556    |
|  197  | ksmakoto                         | 140    | 2449    |
|  198  | lynx                             | 140    | 953     |
|  199  | kyomei                           | 140    | 465     |
|  200  | penetole                         | 139    | 1332    |
|  201  | Keno42                           | 139    | 557     |
|  202  | jyokun                           | 139    | 128     |
|  203  | tarumi                           | 138    | 1371    |
|  204  | riktor                           | 137    | 2141    |
|  205  | gifnksm                          | 137    | 1099    |
|  206  | alpicola                         | 136    | 2141    |
|  207  | yasmat                           | 136    | 1071    |
|  208  | (zeppeki)                        | 136    | 758     |
|  209  | nase                             | 134    | 2829    |
|  210  | whitypig                         | 134    | 2333    |
|  211  | okazaki                          | 134    | 2024    |
|  212  | deep_blue                        | 133    | 2804    |
|  213  | take4310                         | 133    | 1851    |
|  214  | norio                            | 133    | 1435    |
|  215  | 61mg                             | 133    | 1012    |
|  216  | koshian2                         | 132    | 2612    |
|  217  | Koi                              | 132    | 611     |
|  218  | tomori_nyao                      | 132    | 494     |
|  219  | y.nishida                        | 132    | 299     |
|  220  | echizen_tm                       | 131    | 2607    |
|  221  | tcptr                            | 131    | 2147    |
|  222  | machy                            | 131    | 1788    |
|  223  | todaemon                         | 131    | 238     |
|  224  | t5tmy                            | 131    | 72      |
|  225  | hoge                             | 130    | 3091    |
|  226  | Kouichi_Nakagawa                 | 130    | 1402    |
|  227  | wataken44                        | 130    | 1277    |
|  228  | pekempey                         | 130    | 144     |
|  229  | schrodin                         | 129    | 3400    |
|  230  | DENAM                            | 129    | 1538    |
|  231  | ksato                            | 129    | 1437    |
|  232  | tkyjhr                           | 128    | 2349    |
|  233  | corbeaux                         | 128    | 2328    |
|  234  | hnw                              | 128    | 799     |
|  235  | hadrori                          | 128    | 732     |
|  236  | hide8                            | 128    | 412     |
|  237  | TangentDay                       | 128    | 335     |
|  238  | khammer                          | 127    | 3023    |
|  239  | eoi                              | 127    | 2402    |
|  240  | mugenen                          | 127    | 1803    |
|  241  | choyotaura                       | 127    | 1246    |
|  242  | z_kro                            | 127    | 1128    |
|  243  | hiromi_ayase                     | 127    | 575     |
|  244  | (taijin0721)                     | 127    | 380     |
|  245  | kosakkun                         | 127    | 276     |
|  246  | hachimura                        | 126    | 3285    |
|  247  | osa_k                            | 126    | 1422    |
|  248  | xy_nak_hs                        | 126    | 1021    |
|  249  | haseguwa                         | 126    | 265     |
|  250  | (ProjectSeagull)                 | 126    | 21      |
|  251  | yabuki                           | 125    | 562     |
|  252  | komkom3141                       | 125    | 515     |
|  253  | kazushi                          | 125    | 62      |
|  254  | soz0345hooky                     | 124    | 3273    |
|  255  | dton                             | 124    | 2595    |
|  256  | fvbb431                          | 124    | 996     |
|  257  | aquazul                          | 124    | 356     |
|  258  | mamekin                          | 123    | 2119    |
|  259  | nagaoka                          | 123    | 147     |
|  260  | key                              | 122    | 2988    |
|  261  | AMIO                             | 122    | 964     |
|  262  | likr                             | 121    | 2290    |
|  263  | fujiwara                         | 121    | 1258    |
|  264  | pinefield                        | 120    | 2299    |
|  265  | caesark                          | 120    | 1214    |
|  266  | AtsushiNagaoka                   | 120    | 396     |
|  267  | bQKuAy26                         | 120    | 127     |
|  268  | odz                              | 119    | 3570    |
|  269  | masahiro.sakai                   | 119    | 3065    |
|  270  | tnoda                            | 119    | 1886    |
|  271  | ogahide                          | 118    | 2347    |
|  272  | yoshimoto                        | 118    | 1865    |
|  273  | tasusu                           | 118    | 1738    |
|  274  | nishi6                           | 118    | 1326    |
|  275  | x2357                            | 118    | 1265    |
|  276  | rabbit_TR                        | 118    | 432     |
|  277  | qrrakakh                         | 117    | 2133    |
|  278  | kinoh                            | 117    | 2071    |
|  279  | kroton                           | 117    | 1891    |
|  280  | nissingeppo                      | 116    | 2193    |
|  281  | ttu_hs                           | 116    | 1581    |
|  282  | maesiro                          | 116    | 1441    |
|  283  | Koshin                           | 116    | 529     |
|  284  | TetsuyaIzu                       | 116    | 348     |
|  285  | patterl                          | 115    | 2866    |
|  286  | kinketu                          | 115    | 1692    |
|  287  | szxnkl                           | 115    | 1367    |
|  288  | suroyuu                          | 114    | 3593    |
|  289  | phji                             | 114    | 3549    |
|  290  | tkhiguchi                        | 114    | 2599    |
|  291  | Toyoashihara                     | 114    | 521     |
|  292  | hogeover30                       | 114    | 273     |
|  293  | kyouso                           | 113    | 2964    |
|  294  | pudeyuki                         | 113    | 2878    |
|  295  | IMOKURI                          | 113    | 1577    |
|  296  | ktaobo                           | 113    | 1558    |
|  297  | (root16)                         | 113    | 97      |
|  298  | noppo                            | 113    | 94      |
|  299  | hmakino                          | 112    | 3316    |
|  300  | unagi                            | 112    | 2974    |
|  301  | ichirin                          | 112    | 2784    |
|  302  | tos.lunar                        | 112    | 2645    |
|  303  | miki16g                          | 112    | 1152    |
|  304  | osushi                           | 112    | 84      |
|  305  | dahui                            | 110    | 3680    |
|  306  | smat                             | 110    | 2406    |
|  307  | hata                             | 110    | 1858    |
|  308  | aki_rubix                        | 110    | 1612    |
|  309  | gtom                             | 110    | 1592    |
|  310  | tosan1984                        | 110    | 1545    |
|  311  | msylw                            | 110    | 1390    |
|  312  | yuizumi                          | 110    | 536     |
|  313  | plonk                            | 110    | 505     |
|  314  | rydia001                         | 110    | 58      |
