|-------+-------------+--------+--------------------------------------------------------------------|
|  rank | id          | solved | last_solved                                                        |
|-------+-------------+--------+--------------------------------------------------------------------|
|  1=   | id_115989_  | 600+   | utomaya last solved a problem 5 days ago                           |
|  84   | id_193714_  | 215    | akihiro4chawon last solved a problem 2459 days ago                 |
|  85   | id_783825_  | 213    | ryomiya last solved a problem 3 days ago                           |
|  86   | id_239086_  | 212    | reirei_As last solved a problem 177 days ago                       |
|  87   | id_163172_  | 209    | miyano last solved a problem 352 days ago                          |
|  88   | id_1283264_ | 205    | chromia last solved a problem 61 days ago                          |
|  89   | id_933661_  | 204    | square1001 last solved a problem 61 days ago                       |
|  90   | id_150265_  | 202    | Naoki_M last solved a problem 717 days ago                         |
|  91   | id_181739_  | 200    | tk2 last solved a problem 914 days ago                             |
|  92   | id_185466_  | 199    | fummy64 last solved a problem 2456 days ago                        |
|  93   | id_1181197_ | 198    | simorin last solved a problem 138 days ago                         |
|  94   | id_8879_    | 193    | shaoling last solved a problem 2028 days ago                       |
|  95   | id_12220_   | 192    | hirose last solved a problem 75 days ago                           |
|  96   | id_500247_  | 191    | nagihito last solved a problem 1325 days ago                       |
|  97   | id_189514_  | 191    | nomeaning last solved a problem 1018 days ago                      |
|  98   | id_91684_   | 191    | kerike last solved a problem 658 days ago                          |
|  99   | id_241147_  | 190    | y2q_actionman last solved a problem 2493 days ago                  |
|  100  | id_33604_   | 190    | halwhite last solved a problem 2474 days ago                       |
|  101  | id_945631_  | 188    | hariharsha last solved a problem 43 days ago                       |
|  102  | id_216435_  | 186    | taku0344028 last solved a problem 2022 days ago                    |
|  103  | id_135706_  | 186    | asaq last solved a problem 1800 days ago                           |
|  104  | id_576462_  | 184    | JeromeLefebvre last solved a problem 1048 days ago                 |
|  105  | id_132330_  | 184    | from-nuis last solved a problem 1 day ago                          |
|  106  | id_144254_  | 183    | J_A last solved a problem 2857 days ago                            |
|  107  | id_599331_  | 183    | nekosenyo last solved a problem 498 days ago                       |
|  108  | id_120315_  | 181    | shinichi last solved a problem 1201 days ago                       |
|  109  | id_858556_  | 180    | ludimma last solved a problem 700 days ago                         |
|  110  | id_348296_  | 179    | yumichi last solved a problem 1797 days ago                        |
|  111  | id_83586_   | 179    | ogiekako last solved a problem 1322 days ago                       |
|  112  | id_101080_  | 178    | tsb last solved a problem 2383 days ago                            |
|  113  | id_243616_  | 178    | KenjiH last solved a problem 1205 days ago                         |
|  114  | id_165801_  | 178    | kentaro.wakai last solved a problem 74 days ago                    |
|  115  | id_125154_  | 177    | cojna last solved a problem 1919 days ago                          |
|  116  | id_29305_   | 177    | tar0t last solved a problem 419 days ago                           |
|  117  | id_755421_  | 177    | syasuda last solved a problem 162 days ago                         |
|  118  | id_360675_  | 176    | akira.08280 last solved a problem 1105 days ago                    |
|  119  | id_1018193_ | 176    | (takayuki.ohata) last solved a problem 629 days ago                |
|  120  | id_140922_  | 175    | kobayashikorio last solved a problem 624 days ago                  |
|  121  | id_605956_  | 173    | askaky last solved a problem 1532 days ago                         |
|  122  | id_187757_  | 172    | carpenter_bee last solved a problem 412 days ago                   |
|  123  | id_27065_   | 170    | letter last solved a problem 3697 days ago                         |
|  124  | id_279237_  | 169    | faryad last solved a problem 880 days ago                          |
|  125  | id_31576_   | 169    | gomis last solved a problem 92 days ago                            |
|  126  | id_138178_  | 168    | Masaki last solved a problem 1194 days ago                         |
|  127  | id_809110_  | 168    | Ark__ last solved a problem 262 days ago                           |
|  128  | id_171770_  | 167    | Kurayu last solved a problem 1159 days ago                         |
|  129  | id_898042_  | 167    | sakky711 last solved a problem 411 days ago                        |
|  130  | id_27730_   | 166    | kik last solved a problem 2939 days ago                            |
|  131  | id_232846_  | 166    | yamato last solved a problem 1425 days ago                         |
|  132  | id_110163_  | 166    | kikai last solved a problem 1238 days ago                          |
|  133  | id_31038_   | 165    | isizakit last solved a problem 3332 days ago                       |
|  134  | id_304082_  | 165    | reipan last solved a problem 2104 days ago                         |
|  135  | id_43400_   | 165    | moon_watcher last solved a problem 610 days ago                    |
|  136  | id_159619_  | 165    | peria last solved a problem 533 days ago                           |
|  137  | id_697967_  | 165    | Pachicobue last solved a problem 133 days ago                      |
|  138  | id_29811_   | 163    | nobu_k last solved a problem 3696 days ago                         |
|  139  | id_420671_  | 163    | uti2013 last solved a problem 1958 days ago                        |
|  140  | id_290101_  | 163    | suj2to last solved a problem 332 days ago                          |
|  141  | id_732018_  | 162    | Okamitsu last solved a problem 208 days ago                        |
|  142  | id_140865_  | 162    | yudedako last solved a problem 51 days ago                         |
