|-------+----------------------------------+--------+---------|
|  rank | name                             | solved | recent  |
|  559  | Tomonacci                        | 80     | 303     |
|  674  | (hm64)                           | 72     | 303     |
|  789  | nis9036                          | 66     | 303     |
|  872  | (ynagataorg)                     | 62     | 306     |
|  970  | zchama                           | 59     | 317     |
|  150  | mei_narou                        | 156    | 324     |
|  331  | njellyfish                       | 107    | 328     |
|  938  | Shine16                          | 60     | 330     |
|  140  | suj2to                           | 163    | 332     |
|  388  | schwarznecken                    | 100    | 333     |
|  708  | maple0705                        | 70     | 334     |
|  237  | TangentDay                       | 128    | 335     |
|  707  | satanic0258                      | 70     | 336     |
|  788  | pu2x                             | 66     | 339     |
|  347  | stmasa2016                       | 104    | 340     |
|  695  | vabuff                           | 71     | 342     |
|  461  | kodama417                        | 89     | 346     |
|  284  | TetsuyaIzu                       | 116    | 348     |
|  363  | joll                             | 102    | 349     |
|  87   | miyano                           | 209    | 352     |
|  189  | xyz600                           | 144    | 354     |
|  257  | aquazul                          | 124    | 356     |
|  856  | Harutoverve                      | 63     | 359     |
|  83   | isomura                          | 217    | 361     |
|  855  | MogwaiLove                       | 63     | 362     |
|  815  | kiriyama                         | 65     | 373     |
|  244  | (taijin0721)                     | 127    | 380     |
|  832  | okometsuvu                       | 64     | 381     |
|  507  | mtsuyugu                         | 85     | 384     |
|  27   | sarasouju                        | 344    | 392     |
|  396  | xy_nak_jl                        | 98     | 392     |
|  585  | tkkyn                            | 78     | 395     |
|  899  | fascinating0                     | 61     | 395     |
|  266  | AtsushiNagaoka                   | 120    | 396     |
|  871  | m-kishi                          | 62     | 400     |
|  467  | tanutarou                        | 88     | 404     |
|  814  | sasa2718                         | 65     | 405     |
|  649  | OFNIR3                           | 74     | 408     |
|  129  | sakky711                         | 167    | 411     |
|  486  | ydash                            | 87     | 411     |
|  645  | (lutheta)                        | 75     | 411     |
|  673  | dorao1984                        | 72     | 411     |
|  122  | carpenter_bee                    | 172    | 412     |
|  236  | hide8                            | 128    | 412     |
|  742  | Satoshi                          | 68     | 416     |
|  116  | tar0t                            | 177    | 419     |
|  276  | rabbit_TR                        | 118    | 432     |
|  18   | maspuyo                          | 384    | 440     |
|  20   | tsuchiya.yoshihiro               | 383    | 440     |
|  330  | tjake                            | 107    | 440     |
|  495  | keizo2                           | 86     | 440     |
|  584  | 001229                           | 78     | 443     |
|  55   | walkover                         | 261    | 451     |
|  169  | fooractal                        | 150    | 452     |
|  572  | specular                         | 79     | 454     |
|  460  | coricozizi                       | 89     | 456     |
|  485  | outerinside                      | 87     | 456     |
|  199  | kyomei                           | 140    | 465     |
|  346  | jame_sparker                     | 104    | 468     |
|  80   | LayCurse                         | 220    | 474     |
|  1000 | narita_old                       | 58     | 476     |
|  606  | himajin                          | 77     | 478     |
|  706  | (dfurusaka)                      | 70     | 480     |
|  356  | UmeyaMann                        | 103    | 485     |
|  506  | ability_potion                   | 85     | 485     |
|  387  | yama                             | 100    | 492     |
|  218  | tomori_nyao                      | 132    | 494     |
|  35   | tokoharu                         | 310    | 494     |
|  107  | nekosenyo                        | 183    | 498     |
|  761  | glass5er                         | 67     | 502     |
|  17   | __math                           | 391    | 503     |
|  13   | jujaji                           | 412    | 505     |
|  313  | plonk                            | 110    | 505     |
|  760  | memaizaka                        | 67     | 505     |
|  999  | furimako                         | 58     | 510     |
|  252  | komkom3141                       | 125    | 515     |
|  411  | mayoko                           | 95     | 518     |
|  291  | Toyoashihara                     | 114    | 521     |
|  518  | Suichi                           | 84     | 521     |
|  998  | java-beginner                    | 58     | 522     |
|  283  | Koshin                           | 116    | 529     |
|  329  | mirac                            | 107    | 530     |
|  428  | hogehoge                         | 93     | 530     |
|  163  | arkhe                            | 151    | 532     |
|  420  | onigiri11235                     | 94     | 532     |
|  136  | peria                            | 165    | 533     |
|  787  | HiroN                            | 66     | 533     |
|  937  | Sampei                           | 60     | 535     |
|  312  | yuizumi                          | 110    | 536     |
|  694  | nekonome2016                     | 71     | 537     |
|  400  | suppy193                         | 97     | 538     |
|  969  | parasporospa2                    | 59     | 542     |
|  583  | hyusuk                           | 78     | 544     |
|  571  | tsukagashira                     | 79     | 552     |
|  625  | Ipp                              | 76     | 554     |
|  201  | Keno42                           | 139    | 557     |
|  539  | suihan                           | 82     | 557     |
|  724  | yutakat                          | 69     | 559     |
|  624  | jkotani                          | 76     | 560     |
|  813  | hnakai0909                       | 65     | 560     |
|  251  | yabuki                           | 125    | 562     |
|  434  | asi1024                          | 92     | 562     |
|  693  | maoyam                           | 71     | 562     |
|  936  | kagiri                           | 60     | 564     |
|  243  | hiromi_ayase                     | 127    | 575     |
|  997  | n16012                           | 58     | 576     |
|  582  | (Koizumi_Kyoko)                  | 78     | 577     |
|  664  | kuroyan                          | 73     | 577     |
|  935  | Matsuda_Seiko                    | 60     | 578     |
|  812  | takazzo                          | 65     | 581     |
|  75   | (NORI_2)                         | 222    | 582     |
|  723  | fermikami                        | 69     | 583     |
|  934  | tashilost                        | 60     | 583     |
|  898  | tatcho417                        | 61     | 586     |
|  78   | Chates0705                       | 221    | 587     |
|  369  | keiji-mu                         | 101    | 590     |
|  404  | yuzupom                          | 96     | 592     |
|  759  | goroeuler                        | 67     | 592     |
|  692  | TeamCraftworks                   | 71     | 594     |
|  691  | kimihiro.T                       | 71     | 595     |
|  933  | kougetsuin                       | 60     | 602     |
|  173  | kinjo.yukari                     | 148    | 603     |
|  557  | aihara_enju                      | 80     | 603     |
|  831  | synnomy                          | 64     | 604     |
|  854  | n15001                           | 63     | 605     |
|  64   | tomerun                          | 245    | 607     |
|  135  | moon_watcher                     | 165    | 610     |
|  217  | Koi                              | 132    | 611     |
|  160  | makkin-2                         | 152    | 613     |
|  897  | Kraus1049                        | 61     | 619     |
|  355  | d_nishiyama                      | 103    | 623     |
|  120  | kobayashikorio                   | 175    | 624     |
|  484  | angel-p57                        | 87     | 624     |
|  443  | intestine                        | 91     | 628     |
|  119  | (takayuki.ohata)                 | 176    | 629     |
|  77   | m-riho                           | 221    | 630     |
|  427  | lotz                             | 93     | 632     |
|  483  | uhouho_gorilla                   | 87     | 635     |
|  482  | omochi                           | 87     | 637     |
|  548  | tatt61880                        | 81     | 638     |
|  896  | taiyaki2gou                      | 61     | 646     |
|  98   | kerike                           | 191    | 658     |
|  690  | saharan                          | 71     | 663     |
|  451  | _koji                            | 90     | 671     |
|  481  | yinamori                         | 87     | 671     |
|  480  | belltailjp                       | 87     | 673     |
|  830  | (jyohol01)                       | 64     | 678     |
|  185  | srd7                             | 145    | 683     |
|  932  | mamewo                           | 60     | 688     |
|  623  | (tks2600)                        | 76     | 693     |
|  644  | obelisk1968                      | 75     | 695     |
|  643  | ryukau                           | 75     | 696     |
|  403  | norisuke                         | 96     | 699     |
|  459  | NAKAJIMA_Junichi                 | 89     | 699     |
|  109  | ludimma                          | 180    | 700     |
|  494  | unnamed1030                      | 86     | 703     |
|  853  | (socket478i)                     | 63     | 714     |
|  426  | E869120                          | 93     | 717     |
|  90   | Naoki_M                          | 202    | 717     |
|  786  | flatty.lucas                     | 66     | 723     |
|  10   | chaemon                          | 439    | 726     |
|  235  | hadrori                          | 128    | 732     |
|  852  | Lin1120                          | 63     | 734     |
|  538  | nishima                          | 82     | 736     |
|  968  | hephoz                           | 59     | 739     |
|  722  | komorin95                        | 69     | 740     |
|  870  | Eutbhby                          | 62     | 746     |
|  869  | massa                            | 62     | 749     |
|  184  | kei10in                          | 145    | 754     |
|  208  | (zeppeki)                        | 136    | 758     |
|  811  | (AngelRaposo)                    | 65     | 762     |
|  146  | takonoashi                       | 157    | 763     |
|  605  | tar701                           | 77     | 773     |
|  493  | BLUEPIXY                         | 86     | 781     |
|  895  | ponyo877                         | 61     | 785     |
|  183  | maehrm                           | 145    | 790     |
|  810  | ayachi                           | 65     | 790     |
|  517  | mameo86                          | 84     | 791     |
