rank,name,solved,recent
212,Abednego,253,182
713,jprobin,164,183
857,(haxdogg),153,184
24,pwensing,480,190
548,aaymeloglu,183,191
484,jwpowell,193,192
348,rjaguar3,216,193
631,doc_ou,172,196
830,hime,155,197
166,(xleviator),274,200
199,enrev,258,200
388,wndrobny,208,201
492,danmedani,191,205
44,mrauen,412,206
236,tjohnson314,244,207
343,ibid,217,207
373,(cdmoen),210,207
180,dcclyde,267,208
405,katelyng,206,209
570,mustelid,180,210
483,squidaction,193,211
623,kris.dude,173,211
294,jbum,227,212
154,(catherd),281,213
522,b49P23TIvg,186,214
20,(kingvash),502,217
534,jsemko,184,221
323,slicedclementines,220,222
569,nseward,180,225
214,wigie,252,227
194,howzat2,260,229
455,saryakhran,198,231
218,jbbower,251,236
757,bonenfan5ben,160,241
642,momentomori,171,244
353,lilleswing,214,245
438,(r4ven),201,248
160,dmeng,276,252
176,fissional,269,253
250,ArtVark,241,255
706,shendart,165,260
779,pkoes,158,260
900,kinetical,151,262
421,byorgey,203,265
175,excelgeek,269,266
797,skyroller,157,267
110,quilan,319,268
11,binonunquineist,571,269
13,akdheirl,568,269
547,xloxk,183,271
829,jamarcus,155,274
387,(bphillab),208,276
654,(geoffreyiy1),170,277
844,gideonleeper,154,277
568,heropup,180,281
267,davidgillis,236,282
347,jeek,216,282
211,losttribble,253,287
473,wgpollock,195,287
546,latkin,183,287
630,jstelly,172,291
765,kevmo314,159,294
404,acotis,206,297
796,jhogan,157,297
899,dpark3542,151,297
879,KevinRawlings,152,299
45,donhatch,410,302
756,QuasiChameleon,160,304
293,chulsky,227,306
629,hshearer,172,306
466,qsari,196,309
369,Dumbo52,211,311
394,ghurst,207,313
342,wartysoybean,217,314
437,zifmia,201,316
70,CreativeUsername,358,317
664,yaks_hairbrush,169,320
446,(ketankshukla),200,321
856,(David_Nickerson),153,321
332,gmgerken,219,325
795,Nik654,157,328
582,yred,179,332
21,Eigenray,493,333
497,TJQIV,190,335
653,LisaC,170,335
246,(griphyn220),242,338
41,mckennar,417,339
682,nsheetz,167,341
622,smeds1,173,342
114,blaisegassend,312,346
843,11111011101,154,356
567,involution,180,357
26,antwerpn,471,360
305,jquinn2,225,360
403,amberite,206,363
