|-------+------------------+--------+---------|
|  rank | name             | solved | recent  |
|  395  | bloodwolf        | 105    | 233     |
|  541  | abbypan          | 86     | 233     |
|  529  | Dumbear          | 87     | 242     |
|  424  | huizew           | 102    | 243     |
|  296  | (huangyunict)    | 124    | 246     |
|  56   | Weifeng_Sun      | 258    | 246     |
|  491  | (zhuoliuzhou)    | 91     | 252     |
|  160  | lanmaomao        | 165    | 256     |
|  363  | wandering        | 110    | 256     |
|  193  | huangd95         | 154    | 261     |
|  509  | (grossopa)       | 89     | 262     |
|  387  | haryseldon       | 106    | 266     |
|  314  | xw_y_am          | 120    | 267     |
|  50   | lrzh             | 278    | 269     |
|  60   | lidan615         | 252    | 271     |
|  130  | lijiaqigreat     | 181    | 273     |
|  204  | l1t              | 152    | 274     |
|  192  | Sempr            | 154    | 278     |
|  423  | dongbing         | 102    | 282     |
|  122  | taoyijie         | 186    | 291     |
|  85   | Sd.Invol         | 214    | 291     |
|  102  | Yishun           | 205    | 303     |
|  590  | zhuifengmu       | 82     | 307     |
|  422  | justin03         | 102    | 310     |
|  381  | syb9258          | 107    | 312     |
|  452  | zerosnake0       | 100    | 313     |
|  508  | JMan_Zx          | 89     | 314     |
|  434  | wdztyang         | 101    | 320     |
|  564  | (ylidb)          | 84     | 323     |
|  184  | lihaitao         | 156    | 329     |
|  73   | (zbanach)        | 234    | 332     |
|  9    | cheng.di         | 520    | 332     |
|  451  | s0ng             | 100    | 337     |
|  26   | chzhou           | 361    | 344     |
|  376  | XiaoTaoWang      | 108    | 346     |
|  433  | rabbit_lb        | 101    | 357     |
|  76   | andor9           | 226    | 357     |
|  283  | chuzm15          | 127    | 364     |
|  84   | qu317058542      | 214    | 364     |
|  183  | hjf              | 156    | 365     |
|  323  | Protoss          | 118    | 370     |
|  528  | founderfan       | 87     | 372     |
|  169  | (JavierWu)       | 160    | 383     |
|  554  | mywaythere       | 85     | 394     |
|  106  | lunjgr           | 204    | 405     |
|  264  | (geniusnut)      | 131    | 412     |
|  432  | kapok            | 101    | 413     |
|  340  | zfhammer         | 114    | 415     |
|  322  | laughinging      | 118    | 423     |
|  133  | yuezheng         | 177    | 426     |
|  298  | xuanyan          | 123    | 429     |
|  484  | xWvxYWYxvWx      | 92     | 441     |
|  89   | xymeng           | 211    | 444     |
|  414  | petitfish        | 103    | 449     |
|  589  | harrysun         | 82     | 453     |
|  313  | (laysent)        | 120    | 460     |
|  268  | Heart_Blue       | 130    | 461     |
|  358  | quietsmile       | 111    | 462     |
|  456  | imxian           | 99     | 462     |
|  12   | (lld2006)        | 446    | 469     |
|  120  | cuiaoxiang       | 188    | 475     |
|  275  | spline           | 128    | 479     |
|  394  | hongyan          | 105    | 482     |
|  139  | (ronnoc)         | 175    | 485     |
|  413  | (levyliao)       | 103    | 485     |
|  112  | zhymaoiing       | 201    | 486     |
|  259  | Ra1nWarden       | 132    | 490     |
|  292  | (547826947)      | 125    | 492     |
|  380  | magic331         | 107    | 494     |
|  516  | yininggeta1      | 88     | 495     |
|  174  | infmagic2047     | 159    | 501     |
|  481  | Nilnova          | 93     | 501     |
|  368  | flyee            | 109    | 511     |
|  272  | Eular            | 129    | 516     |
|  357  | cherichy         | 111    | 517     |
|  126  | bbsdkjdx         | 183    | 521     |
|  367  | guanyishu        | 109    | 529     |
|  350  | zhoufeng512      | 112    | 533     |
|  507  | tieer            | 89     | 535     |
|  356  | (eddyxu)         | 111    | 547     |
|  563  | (xycuckoo)       | 84     | 563     |
|  98   | foreverbell      | 207    | 564     |
|  210  | xx331234         | 150    | 565     |
|  127  | northwolves      | 182    | 567     |
|  20   | ZhouYuChen       | 387    | 579     |
|  295  | Bephbin          | 124    | 579     |
|  155  | fwjmath          | 168    | 605     |
|  274  | (--..)           | 128    | 606     |
|  472  | luobuda          | 95     | 620     |
|  527  | thezero12        | 87     | 629     |
|  132  | S3_N             | 179    | 635     |
|  237  | (huayi)          | 139    | 636     |
