|-------+---------------------+--------+---------|
|  rank | name                | solved | recent  |
|  457  | blueyoshi321        | 198    | 47      |
|  637  | gwrightnyc          | 172    | 47      |
|  151  | tlesaul2            | 285    | 48      |
|  409  | JackODonohue        | 205    | 49      |
|  908  | buohara             | 151    | 50      |
|  435  | hacatu              | 202    | 51      |
|  860  | dswenson            | 153    | 52      |
|  261  | CBurkhart           | 238    | 53      |
|  489  | schreck             | 192    | 53      |
|  66   | mark                | 367    | 55      |
|  238  | BartSalt            | 244    | 56      |
|  944  | ZelmersZoetrop      | 148    | 56      |
|  150  | Ted                 | 285    | 57      |
|  462  | BobTheGreat         | 197    | 57      |
|  720  | SirMrGuy            | 164    | 57      |
|  540  | JamesRauen          | 184    | 58      |
|  178  | mcslane             | 268    | 60      |
|  260  | (kennethklinger)    | 238    | 60      |
|  556  | (gblais)            | 183    | 62      |
|  339  | jfreiberg           | 218    | 63      |
|  309  | (caelum02)          | 224    | 66      |
|  323  | tgp4                | 221    | 67      |
|  158  | nkbk                | 278    | 68      |
|  424  | Derek_Clegg         | 203    | 68      |
|  14   | mathseal            | 558    | 70      |
|  297  | mccaskey            | 227    | 70      |
|  195  | brownkenny          | 260    | 71      |
|  230  | (CheeseLord)        | 249    | 72      |
|  943  | elendia             | 148    | 72      |
|  101  | (nishanth17)        | 328    | 74      |
|  149  | mcamac              | 286    | 75      |
|  688  | merlinnimue         | 167    | 76      |
|  784  | aspen8131           | 158    | 78      |
|  82   | JohnMorris          | 349    | 78      |
|  934  | Dakfro              | 149    | 78      |
|  364  | (dcoles)            | 212    | 79      |
|  65   | (kelvinator)        | 367    | 79      |
|  977  | Kugnae              | 146    | 80      |
|  434  | nsg                 | 202    | 81      |
|  926  | dazuma              | 150    | 82      |
|  274  | rlipsett            | 234    | 83      |
|  278  | joe.giuliani        | 233    | 83      |
|  32   | Murphy              | 447    | 85      |
|  293  | grahamholmes        | 228    | 86      |
|  317  | chahld              | 222    | 86      |
|  214  | 1011010110110       | 253    | 88      |
|  810  | snydej              | 156    | 88      |
|  336  | yli198              | 219    | 89      |
|  53   | candells            | 390    | 89      |
|  575  | (dgottner)          | 180    | 90      |
|  480  | kirkb               | 194    | 91      |
|  120  | Abe27342            | 309    | 92      |
|  92   | bunderscore         | 334    | 92      |
|  91   | henru_wang          | 334    | 94      |
|  439  | Forehead            | 201    | 96      |
|  58   | dgiaimo             | 379    | 98      |
|  226  | slfotg              | 250    | 99      |
|  216  | mauro7inf           | 252    | 100     |
|  229  | rgao14              | 249    | 103     |
|  669  | SuckItLipkin        | 169    | 104     |
|  155  | CUViper             | 281    | 105     |
|  338  | samnolen            | 218    | 105     |
|  555  | ultrakeet           | 183    | 109     |
|  942  | deanaw              | 148    | 109     |
|  303  | Jacob_Elafandi      | 226    | 110     |
|  833  | roxer94             | 155    | 110     |
|  933  | lpage               | 149    | 110     |
|  257  | billbo2424          | 239    | 111     |
|  687  | (desaic)            | 167    | 111     |
|  221  | rcp2361             | 251    | 114     |
|  418  | ferret30            | 204    | 115     |
|  486  | Dikkemik            | 193    | 115     |
|  335  | jzheller            | 219    | 116     |
|  377  | joelsmith           | 210    | 117     |
|  302  | dcterr              | 226    | 118     |
|  146  | rathmann            | 287    | 119     |
|  170  | kubluck             | 273    | 119     |
|  433  | Eventhorizon        | 202    | 119     |
|  736  | CarbonFerrous       | 162    | 119     |
|  124  | smacke              | 305    | 120     |
|  614  | (jbuysse)           | 175    | 120     |
|  113  | blakeney            | 315    | 121     |
|  668  | Artemish            | 169    | 121     |
|  165  | TickaJules          | 275    | 123     |
|  679  | evanseverson        | 168    | 123     |
|  976  | geekynerd           | 146    | 123     |
|  220  | tguinard            | 251    | 124     |
|  613  | rphenson            | 175    | 126     |
|  63   | grantcarlson        | 368    | 126     |
|  719  | (bednarz0)          | 164    | 126     |
|  277  | lingomaniac88       | 233    | 127     |
|  131  | nwalton125          | 301    | 129     |
|  61   | navghtivs           | 372    | 129     |
|  847  | cjfred              | 154    | 131     |
|  134  | (cjqcjq)            | 297    | 132     |
|  728  | (gh314)             | 163    | 135     |
|  137  | NabiNaga            | 295    | 136     |
|  292  | GoHawks             | 228    | 137     |
|  112  | Thiros              | 317    | 139     |
|  355  | phob                | 214    | 139     |
|  560  | ArrayMaster3000     | 182    | 142     |
|  975  | andrew-i            | 146    | 142     |
|  417  | nasmith99           | 204    | 147     |
|  123  | wakkadojo           | 308    | 151     |
|  289  | makhoma             | 229    | 154     |
|  205  | KenB                | 256    | 155     |
|  19   | aruff               | 513    | 156     |
|  574  | RikSm               | 180    | 156     |
|  907  | nullman             | 151    | 156     |
|  225  | quicksilver         | 250    | 157     |
|  376  | Deathfire-san       | 210    | 157     |
|  702  | mndrake             | 166    | 159     |
|  539  | sligocki            | 184    | 161     |
|  648  | (DavidBurgess1997)  | 171    | 161     |
|  23   | phsr                | 486    | 162     |
|  387  | browni3141          | 209    | 162     |
|  612  | humcalc216          | 175    | 162     |
|  554  | intrepidcoder       | 183    | 163     |
|  1=   | dev_random          | 600+   | 165     |
|  416  | cryptofalker        | 204    | 165     |
|  326  | Rfloyd01            | 220    | 171     |
|  363  | superb_owl          | 212    | 171     |
|  46   | oldpatzer           | 408    | 173     |
|  361  | montyn              | 213    | 177     |
|  619  | adang1345           | 174    | 178     |
|  475  | gjanee              | 195    | 179     |
|  974  | pj6444              | 146    | 179     |
|  553  | atkins              | 183    | 180     |
|  701  | Dot                 | 166    | 180     |
|  727  | jweibley628         | 163    | 180     |
|  885  | mps                 | 152    | 182     |
|  959  | shchmue             | 147    | 182     |
|  181  | karldray            | 266    | 184     |
|  846  | SheldonD            | 154    | 184     |
|  647  | gurpreet_09         | 171    | 185     |
|  801  | (Brian.Mellendorf)  | 157    | 186     |
|  273  | xan                 | 234    | 188     |
|  499  | vscotto             | 190    | 190     |
|  99   | akimitsu            | 329    | 190     |
|  559  | torgan              | 182    | 191     |
|  288  | Valar_Dev           | 229    | 192     |
|  350  | mchalek             | 215    | 192     |
|  488  | Iguana32            | 192    | 192     |
|  592  | edjah               | 178    | 192     |
|  396  | ExpHP               | 207    | 193     |
|  884  | ewccatch            | 152    | 193     |
|  127  | godmar              | 303    | 195     |
|  208  | qta                 | 255    | 195     |
|  31   | doctornick5         | 449    | 197     |
|  264  | (chsl95)            | 237    | 199     |
|  312  | ckthomas            | 223    | 202     |
|  658  | awesomeusername     | 170    | 202     |
|  735  | PerryJer1           | 162    | 203     |
|  213  | Abednego            | 253    | 204     |
|  718  | jprobin             | 164    | 205     |
|  859  | (haxdogg)           | 153    | 205     |
|  24   | pwensing            | 480    | 211     |
|  485  | jwpowell            | 193    | 213     |
|  552  | aaymeloglu          | 183    | 213     |
|  349  | rjaguar3            | 216    | 215     |
|  636  | doc_ou              | 172    | 217     |
|  832  | hime                | 155    | 218     |
|  166  | (xleviator)         | 274    | 221     |
|  199  | enrev               | 258    | 222     |
|  389  | wndrobny            | 208    | 222     |
|  494  | danmedani           | 191    | 227     |
|  345  | ibid                | 217    | 228     |
|  44   | mrauen              | 412    | 228     |
|  237  | tjohnson314         | 244    | 229     |
|  375  | (cdmoen)            | 210    | 229     |
|  180  | dcclyde             | 267    | 230     |
|  406  | katelyng            | 206    | 230     |
|  484  | squidaction         | 193    | 232     |
|  573  | mustelid            | 180    | 232     |
|  296  | jbum                | 227    | 233     |
|  626  | kris.dude           | 173    | 233     |
|  154  | (catherd)           | 281    | 234     |
|  525  | b49P23TIvg          | 186    | 236     |
|  989  | Sandamnit           | 145    | 236     |
|  538  | jsemko              | 184    | 243     |
|  325  | slicedclementines   | 220    | 244     |
|  572  | nseward             | 180    | 246     |
|  215  | wigie               | 252    | 248     |
|  906  | fractaly            | 151    | 248     |
|  194  | howzat2             | 260    | 250     |
|  456  | saryakhran          | 198    | 253     |
|  219  | jbbower             | 251    | 257     |
|  988  | (llasramblue)       | 145    | 262     |
|  760  | bonenfan5ben        | 160    | 263     |
|  354  | lilleswing          | 214    | 266     |
|  438  | (r4ven)             | 201    | 269     |
|  160  | dmeng               | 276    | 274     |
|  176  | fissional           | 269    | 275     |
|  973  | tranzar             | 146    | 276     |
|  251  | ArtVark             | 241    | 277     |
|  711  | shendart            | 165    | 281     |
|  783  | pkoes               | 158    | 281     |
|  905  | kinetical           | 151    | 283     |
|  423  | byorgey             | 203    | 286     |
|  175  | excelgeek           | 269    | 288     |
|  800  | skyroller           | 157    | 288     |
|  111  | quilan              | 319    | 289     |
|  11   | binonunquineist     | 571    | 290     |
|  13   | akdheirl            | 568    | 290     |
|  958  | victorliu           | 147    | 292     |
|  551  | xloxk               | 183    | 293     |
|  831  | jamarcus            | 155    | 296     |
|  388  | (bphillab)          | 208    | 298     |
|  657  | (geoffreyiy1)       | 170    | 298     |
|  845  | gideonleeper        | 154    | 299     |
|  269  | davidgillis         | 236    | 303     |
|  571  | heropup             | 180    | 303     |
|  348  | jeek                | 216    | 304     |
|  212  | losttribble         | 253    | 309     |
|  474  | wgpollock           | 195    | 309     |
|  550  | latkin              | 183    | 309     |
|  635  | jstelly             | 172    | 312     |
|  769  | kevmo314            | 159    | 315     |
|  405  | acotis              | 206    | 318     |
|  799  | jhogan              | 157    | 319     |
|  904  | dpark3542           | 151    | 319     |
|  883  | KevinRawlings       | 152    | 320     |
|  45   | donhatch            | 410    | 323     |
|  759  | QuasiChameleon      | 160    | 325     |
|  295  | chulsky             | 227    | 328     |
|  634  | hshearer            | 172    | 328     |
|  466  | qsari               | 196    | 330     |
|  370  | Dumbo52             | 211    | 333     |
|  395  | ghurst              | 207    | 334     |
|  344  | wartysoybean        | 217    | 335     |
|  437  | zifmia              | 201    | 338     |
|  71   | CreativeUsername    | 358    | 339     |
|  667  | yaks_hairbrush      | 169    | 341     |
|  858  | (David_Nickerson)   | 153    | 342     |
|  447  | (ketankshukla)      | 200    | 343     |
|  334  | gmgerken            | 219    | 347     |
|  798  | Nik654              | 157    | 349     |
|  584  | yred                | 179    | 353     |
|  21   | Eigenray            | 493    | 354     |
|  656  | LisaC               | 170    | 356     |
|  498  | TJQIV               | 190    | 357     |
|  248  | (griphyn220)        | 242    | 360     |
|  42   | mckennar            | 417    | 361     |
|  686  | nsheetz             | 167    | 363     |
|  625  | smeds1              | 173    | 364     |
|  932  | scar                | 149    | 364     |
|  117  | blaisegassend       | 312    | 367     |
|  844  | 11111011101         | 154    | 377     |
|  570  | involution          | 180    | 378     |
|  26   | antwerpn            | 471    | 382     |
|  307  | jquinn2             | 225    | 382     |
|  404  | amberite            | 206    | 385     |
|  270  | BoltonBailey        | 235    | 386     |
|  259  | hweigel528          | 238    | 389     |
|  602  | artemb              | 176    | 392     |
|  143  | (markr)             | 290    | 394     |
|  193  | xantoscguin         | 260    | 395     |
|  830  | liub                | 155    | 398     |
|  882  | aldesuda            | 152    | 398     |
|  90   | Lewin               | 341    | 398     |
|  957  | azax1               | 147    | 402     |
|  432  | downtownknits       | 202    | 403     |
|  43   | (PeterW)            | 413    | 403     |
|  431  | dogbox              | 202    | 404     |
|  549  | (ciphergoth)        | 183    | 407     |
|  450  | tklalmighty         | 199    | 409     |
|  497  | benhummon           | 190    | 411     |
|  360  | Stashio             | 213    | 412     |
|  493  | bsetzer             | 191    | 416     |
|  537  | zachzane            | 184    | 416     |
|  394  | Oatmeat             | 207    | 427     |
|  430  | teekyman            | 202    | 429     |
|  89   | thorfax             | 342    | 429     |
|  700  | kvom                | 166    | 435     |
|  122  | MrPoush             | 308    | 436     |
|  678  | Tureld              | 168    | 436     |
|  75   | jarsyl              | 356    | 436     |
|  98   | athenahealth        | 330    | 436     |
|  857  | JLLagrange          | 153    | 437     |
|  782  | robertel            | 158    | 443     |
|  171  | dshabes             | 272    | 448     |
|  97   | xharfire            | 330    | 449     |
|  987  | BeTheDuck           | 145    | 450     |
|  685  | Blenheim            | 167    | 451     |
|  746  | ruakh               | 161    | 451     |
|  666  | LucasBrown          | 169    | 458     |
|  276  | (edipusflex)        | 233    | 459     |
|  301  | nemtiax             | 226    | 462     |
|  449  | jke67               | 199    | 462     |
|  655  | simplicio101        | 170    | 463     |
|  734  | (Babamots)          | 162    | 470     |
|  333  | svensen             | 219    | 471     |
|  243  | lirkbald            | 243    | 472     |
|  758  | darebear            | 160    | 472     |
|  646  | masonium            | 171    | 476     |
|  797  | marsevern           | 157    | 476     |
|  684  | gte206w             | 167    | 481     |
|  126  | arbrad              | 303    | 484     |
|  699  | tschultz            | 166    | 484     |
|  941  | unc                 | 148    | 488     |
|  515  | awo                 | 188    | 490     |
|  236  | abecker             | 244    | 493     |
|  710  | avi972              | 165    | 496     |
|  461  | yamazaki256         | 197    | 498     |
|  768  | mallen84            | 159    | 500     |
|  207  | jbrennen            | 255    | 502     |
|  224  | sdx96               | 250    | 503     |
|  956  | jbeyer              | 147    | 505     |
|  460  | danielf             | 197    | 510     |
|  745  | fourteenrivers      | 161    | 511     |
|  206  | vorbis              | 255    | 513     |
|  74   | DanRoss53           | 356    | 518     |
|  369  | Glitch29            | 211    | 522     |
|  284  | NoHire              | 231    | 525     |
|  316  | demongolem          | 222    | 525     |
|  242  | (ncmilder)          | 243    | 527     |
|  536  | (zefrosnbrick)      | 184    | 529     |
|  618  | damon_achey         | 174    | 529     |
|  362  | KORENA              | 212    | 535     |
|  492  | gangien             | 191    | 538     |
|  275  | (szymczak)          | 233    | 541     |
|  781  | (smenon.euler)      | 158    | 545     |
|  177  | (RadioChuck)        | 268    | 546     |
|  190  | xZork               | 261    | 547     |
|  514  | jschorr             | 188    | 547     |
|  183  | (Bo102010)          | 265    | 550     |
|  925  | Zhongxia            | 150    | 553     |
|  903  | dougeuler2          | 151    | 555     |
|  583  | (pheinrich)         | 179    | 560     |
|  829  | (matthew.townsend)  | 155    | 567     |
|  27   | rprestezog          | 459    | 569     |
|  881  | curitre             | 152    | 578     |
|  972  | SamHarwellCSharp    | 146    | 580     |
|  591  | Cosmic              | 178    | 584     |
|  322  | JammaB              | 221    | 593     |
|  315  | (louiehelm)         | 222    | 595     |
|  924  | ertoz               | 150    | 600     |
|  780  | sykora              | 158    | 602     |
|  145  | thesunmaster        | 289    | 603     |
|  779  | (rmudroch)          | 158    | 603     |
|  403  | dbatche3            | 206    | 606     |
|  709  | HowLongBeen         | 165    | 607     |
|  187  | ecowarrior          | 262    | 613     |
|  923  | belovedeagle        | 150    | 613     |
|  164  | Atmospheric         | 275    | 614     |
|  744  | (Murray65536)       | 161    | 621     |
|  130  | vvenkai             | 301    | 622     |
|  465  | vitaminz            | 196    | 622     |
|  135  | lomont              | 296    | 631     |
|  228  | malisper            | 249    | 633     |
|  321  | pinger              | 221    | 636     |
|  408  | sattui              | 205    | 636     |
|  520  | grovert             | 187    | 637     |
|  590  | ke9tv               | 178    | 637     |
|  922  | ssmith2             | 150    | 652     |
|  971  | darkdrium06         | 146    | 652     |
|  254  | (0xE6)              | 240    | 655     |
|  611  | DaveBaum            | 175    | 660     |
|  332  | dwalthour           | 219    | 664     |
