rank,name,solved,recent
1,(jaehyunp),589,11
2,hongraejo,412,1597
3,shinminseon,331,16
4,ainu7,330,915
5,allenjeon,325,7
6,sungmin817,311,100
7,(ssk),307,858
8,emppu,262,134
9,(sunleonid),261,1515
10,kcm1700,257,1282
11,thkang,243,1762
12,muse,240,39
13,JiminP,238,1421
14,noxnia,234,502
15,Bubbler,234,7
16,kanie,230,455
17,Baekjoon,228,782
18,Doju,221,12
19,ipkn,218,1292
20,communia,210,1713
21,zlzmsrhak,209,212
22,Iris_harp,208,2363
23,petdrow,206,506
24,(lakshimi),205,661
25,sharb,204,2793
26,l10veu,202,2571
27,cfranck,202,0
28,changrak,201,320
29,jh05013,200,0
30,00,199,1449
31,jjhangu2,199,749
32,stenhammar,193,3497
33,eyTns,193,555
34,svchost.exe,193,182
35,uws8505,189,3371
36,(mecatos95d),188,1065
37,bumsook,186,130
38,veshboo,184,189
39,alexum,184,4
40,udaque,181,1613
41,(wooyekim),178,1931
42,skim0119,177,49
43,optimizerjerry,176,2980
44,p.istrati,176,1875
45,Breakun,170,1313
46,lem,165,1436
47,ddaker,164,2513
48,Unused,164,476
49,Teferi,161,3030
50,gok01172,160,2736
51,yongwhan,160,1149
52,kimrip,158,1018
53,choyb,157,3080
54,pjsdream,157,1128
55,zhuny,157,304
56,Frizzle,157,290
57,dalpaeng2,156,1038
58,(j1wan),153,727
59,Jungkeun,152,778
60,hillcanon,149,288
61,kjw0612,147,3180
62,absenty,142,2910
63,veblush,141,1974
64,tjfktj,141,813
65,larez,140,602
66,kyumyonglee,140,581
67,ychoi100,137,1408
68,(juncoder),134,1063
69,Kyoseon,133,2941
70,yadi0119,132,1659
71,HeeM,132,516
72,kgw0507,131,2598
73,hij8765,131,1562
74,colorized,131,526
75,(sy0414),130,756
76,Sait2000,130,59
77,bam8695,129,1093
78,hoo,128,2311
79,gsm291,128,2228
80,sehee382,127,2644
81,kazel,127,1294
82,go_to_dmc,126,10
83,rein01,125,3334
84,frigen,125,1808
85,dareun.geum,124,169
86,daewonyoon,123,875
87,daegeon,123,22
88,lifthrasiir,122,2443
89,(kth3321),121,2293
90,(chiwook),118,2068
91,kheled,117,2956
92,sutekine,117,2157
93,J.H.M.,117,104
