rank,name,solved,recent
149,(raifthenerd),88,0
160,subinium,86,0
27,cfranck,202,0
29,jh05013,200,0
583,layup,33,0
649,baru,29,0
582,riverlike14,33,1
148,moon020416,88,2
416,(hssuh),50,2
448,impress313,46,3
39,alexum,184,4
121,(dalgu),102,5
311,freewild,62,5
15,Bubbler,234,7
5,allenjeon,325,7
707,jlee6741,26,10
82,go_to_dmc,126,10
1,(jaehyunp),589,11
18,Doju,221,12
271,nomadlife,67,16
3,shinminseon,331,16
96,(kinetc),116,17
638,pyvid_jsl,30,20
87,daegeon,123,22
131,helicity,97,32
567,nablon,34,33
648,kwangrim.ahn,29,34
734,rubymix,25,36
12,muse,240,39
248,dreamsboat,69,39
447,toolofthought,46,40
352,mohenjo,56,46
637,mortarkombat,30,48
42,skim0119,177,49
461,iljimae,45,50
259,jihunroh-python,68,57
76,Sait2000,130,59
126,(kparkeuler),100,69
270,(ikisis),67,75
399,Yearning,51,75
364,(yyc9268),54,76
647,adex1248,29,76
646,(AladeenIII),29,77
222,delfino4,72,85
474,hum369,43,86
733,(a41798175),25,95
6,sungmin817,311,100
93,J.H.M.,117,104
439,(eudemonicjh),47,109
438,Pekaz,47,115
506,(ludi685),39,119
732,wipkis,25,128
37,bumsook,186,130
8,emppu,262,134
196,birmjin.in,77,144
517,jongyoonl,38,145
247,wandookong,69,150
301,jacealan,63,152
460,ohwi,45,152
596,(pakcw0),32,154
664,starwatcherkiwi,28,158
376,16spark1,53,159
85,dareun.geum,124,169
246,rmsrk33,69,173
496,narsis_07,40,175
415,(ssu2016rex),50,176
706,myshlee417,26,179
34,svchost.exe,193,182
433,(gomcheol),48,187
38,veshboo,184,189
134,friend1226,96,191
316,hiparkgss,61,192
636,SilverCube,30,192
731,windows,25,192
97,kyduke,114,197
147,nineclue,88,199
705,nmsheeboy007,26,199
663,kurishin,28,203
164,key262yek,85,207
21,zlzmsrhak,209,212
287,deity,65,221
351,qwe6580,56,224
211,(gs13057),74,225
286,nonblock,65,230
539,ent25d27,36,232
566,pmon2648,34,238
730,dyxogus,25,240
293,sherhy,64,246
619,megi3dec,31,248
331,zephyr9,59,255
95,(Byungwoo.Jeon),116,257
635,greengaguri,30,259
109,hongsch1,107,265
292,eltmzhsj,64,266
424,keiasz,49,278
206,YunGoon,75,284
60,hillcanon,149,288
56,Frizzle,157,290
231,aeromind,71,291
618,altria0528,31,302
55,zhuny,157,304
130,younghan,97,306
120,whitehwarang,102,310
363,bits_and_scraps,54,311
414,wishsky02,50,313
505,(aj.haru.kim),39,315
28,changrak,201,320
704,kurukaka,26,323
113,ntalbs,106,327
470,kimdaye,44,328
617,yous,31,337
446,(junnyboy2008),46,340
181,About-Blank,80,341
703,co7799,26,341
679,beomjin.lee,27,350
702,y3pbg,26,355
489,ydh0110,41,356
117,keugbang,104,368
172,flagj,83,368
362,(tjyoo73),54,369
106,astein,108,370
195,ch81.song,77,370
554,crymini,35,372
310,boyboyhoo,62,374
326,ssico7,60,376
701,jaywalnut310,26,381
325,lasher247,60,383
565,jongwoo315,34,385
385,viciousagent86,52,388
553,gaten,35,390
678,sonsidal,27,401
729,masya,25,408
339,(jaehaaheaj),57,413
479,hjlee,42,425
136,dotorya,95,433
159,(hodduc),86,434
728,hoonho97,25,435
445,paosder,46,441
469,nas90120,44,444
16,kanie,230,455
221,ssangkong,72,458
285,espring,65,467
163,chattee,85,469
48,Unused,164,476
645,kjwkjw,29,477
727,algo_rithm,25,490
14,noxnia,234,502
23,petdrow,206,506
245,dincal,69,513
634,hckhck,30,513
71,HeeM,132,516
552,mani3769,35,520
413,shephexd,50,525
138,hwijung,94,526
74,colorized,131,526
616,yechanny90,31,530
459,toyun,45,531
478,jaeankr,42,535
220,Corea,72,538
504,aha00a,39,538
538,hyeongyu,36,543
33,eyTns,193,555
444,hwj8963,46,558
726,ysjee95,25,565
324,tyamazaki,60,576
323,fanoyong,60,578
66,kyumyonglee,140,581
350,luxewiz,56,583
662,akachun,28,586
700,ingyu1008,26,586
677,wnwo9037,27,598
291,kreateark,64,600
65,larez,140,602
412,hoonnhun,50,609
468,whdnddh,44,617
140,king--kong,91,619
214,xoguslwkd,73,622
269,thebarbershop,67,627
105,Ainodyne,109,628
615,ChihoWon,31,631
300,(ZTZEROS),63,632
432,parkkiung123,48,638
309,jw.jung,62,643
299,Veckal,63,654
488,koosaga,41,658
24,(lakshimi),205,661
467,dyh7557,44,670
258,(nersery),68,671
676,-_-a,27,674
257,(hsm6911),68,680
112,4135667,106,700
230,proburner,71,705
219,NewPython,72,708
473,polaris340,43,711
308,aviness,62,726
58,(j1wan),153,727
675,ohj6452,27,729
537,AMUMU,36,733
307,runnie0427,62,735
384,thumb,52,744
31,jjhangu2,199,749
595,vernus,32,755
75,(sy0414),130,756
398,hjl1595,51,764
256,eminency,68,767
59,Jungkeun,152,778
522,coozplz,37,779
487,moonbk81,41,780
17,Baekjoon,228,782
229,seul,71,789
397,john-scarlet,51,803
64,tjfktj,141,813
423,anto5710,49,816
521,ygy7084,37,822
564,scmaro,34,824
115,(pse1202),105,831
290,(yeori),64,839
210,(bbaa1155),74,848
244,Peacemiki,69,848
7,(ssk),307,858
466,(simon61),44,861
563,ksyou496usa,34,866
243,Ephemera,69,872
86,daewonyoon,123,875
699,dikenande,26,876
594,gijun0102,32,878
486,sooshia,41,888
661,yongduek,28,891
431,mookeun,48,893
133,sangpaz,96,903
236,naldo,70,904
194,Shongky,77,907
156,thechaos16,87,908
411,sablime,50,908
443,(choi101104),46,911
465,taej0127,44,912
660,hics33,28,914
4,ainu7,330,915
322,zxcxz7,60,917
725,(w200kr),25,929
520,hokma,37,935
284,cguy2000,65,941
698,kunsu,26,944
697,rjuny1996,26,945
724,amudoan,25,956
593,(minq.park),32,961
495,fourwingsy,40,966
306,arcadia88,62,972
180,bdares,80,980
185,jeonbyungwoo,79,981
279,greatstone,66,985
696,ysj9867,26,985
396,(jins02),51,992
218,aleph0,72,995
614,controller,31,997
494,spikewj,40,1002
516,yeon,38,1005
298,jooyunghan,63,1011
383,yangjy0113,52,1015
52,kimrip,158,1018
613,jayong93,31,1027
171,puella1204,83,1028
611,wisdroid,31,1036
612,tssads,31,1036
170,(eulpine),83,1037
205,박상건,75,1038
57,dalpaeng2,156,1038
674,itugs,27,1048
515,(seungheeye),38,1050
228,tapiko,71,1052
119,bosscq,102,1055
242,milkiss,69,1058
610,LEEEEEEEEEE,31,1060
68,(juncoder),134,1063
36,(mecatos95d),188,1065
209,kunbam09,74,1069
382,(albert_park),52,1072
375,AmorEtSpero,53,1075
633,angelosck,30,1076
395,ybjeon01,51,1080
167,Hydrogen,84,1086
278,hylee,66,1090
104,Abalcon,110,1092
77,bam8695,129,1093
503,(biscuit_03),39,1095
609,myhb9188,31,1108
193,ironlung,77,1111
695,geekjun,26,1111
551,c0untd0wn,35,1115
217,hnjang810,72,1117
694,zoshs7,26,1117
188,(JohnSeo),78,1119
693,Salmonjoon,26,1119
430,reiphiel,48,1120
477,prime73,42,1125
54,pjsdream,157,1128
692,Gubug,26,1139
51,yongwhan,160,1149
562,(jyh1124),34,1153
315,JongMan,61,1157
374,hyunhwan,53,1165
381,yoloseem,52,1165
135,(123harim),95,1176
283,bookman01,65,1179
691,elijah6,26,1193
690,pslave1,26,1196
277,irisagfe,66,1201
321,optatum,60,1207
410,jacgyver,50,1207
357,yimjy1996,55,1209
103,insikk,110,1217
330,protos37,59,1219
108,PhoBiA,107,1220
592,eungkwon,32,1227
723,SGIL,25,1237
722,w2ok78,25,1240
373,etoilebleu06,53,1261
335,(tintin5108),58,1265
437,kipa00,47,1268
297,wsh0509,63,1276
581,x86kernel,33,1277
10,kcm1700,257,1282
550,bkangel,35,1286
549,lucendo,35,1290
19,ipkn,218,1292
81,kazel,127,1294
591,JanAson,32,1296
255,philmasterplus,68,1301
45,Breakun,170,1313
235,dpp5411,70,1314
632,(rohjoon),30,1324
356,(DarkAngel),55,1328
349,(lkkpou),56,1332
254,caooeep,68,1333
372,rhs0266,53,1351
227,jykim,71,1364
289,cramade,64,1365
102,tpzcln,110,1367
355,yeonseung.kim,55,1367
580,nkcyj,33,1370
334,hakenstock,58,1371
409,akalidos,50,1387
561,kernel0,34,1395
