rank,name,solved,recent
1,(jaehyunp),588,0
269,nomadlife,67,0
35,cfranck,187,0
3,shinminseon,331,0
516,impress313,38,1
96,(kinetc),116,1
194,moon020416,77,4
635,pyvid_jsl,30,4
5,allenjeon,324,5
87,daegeon,123,6
39,alexum,180,11
126,(dalgu),100,16
131,helicity,97,16
566,nablon,34,17
645,kwangrim.ahn,29,18
730,rubymix,25,21
12,muse,240,23
246,dreamsboat,69,23
446,toolofthought,46,24
349,mohenjo,56,30
634,mortarkombat,30,32
41,skim0119,177,33
459,iljimae,45,34
257,jihunroh-python,68,41
76,Sait2000,130,43
125,(kparkeuler),100,53
268,(ikisis),67,59
398,Yearning,51,59
362,(yyc9268),54,60
644,adex1248,29,60
643,(AladeenIII),29,61
220,delfino4,72,69
472,hum369,43,70
48,jh05013,162,77
729,(a41798175),25,79
6,sungmin817,311,84
93,J.H.M.,117,89
438,(eudemonicjh),47,93
437,Pekaz,47,99
504,(ludi685),39,103
728,wipkis,25,112
36,bumsook,186,114
727,baru,25,117
8,emppu,262,118
193,birmjin.in,77,128
355,(raifthenerd),55,128
515,jongyoonl,38,129
245,wandookong,69,134
458,ohwi,45,136
299,jacealan,63,137
593,(pakcw0),32,138
660,starwatcherkiwi,28,142
374,16spark1,53,143
85,dareun.geum,124,153
244,rmsrk33,69,158
494,narsis_07,40,159
414,(ssu2016rex),50,160
702,myshlee417,26,163
32,svchost.exe,193,166
431,(gomcheol),48,171
37,veshboo,184,173
134,friend1226,96,175
633,SilverCube,30,176
726,windows,25,176
313,hiparkgss,61,177
97,kyduke,114,181
147,nineclue,88,183
701,nmsheeboy007,26,183
659,kurishin,28,187
161,key262yek,85,191
21,zlzmsrhak,209,196
285,deity,65,205
348,qwe6580,56,208
209,(gs13057),74,209
284,nonblock,65,214
538,ent25d27,36,216
565,pmon2648,34,222
725,dyxogus,25,224
291,sherhy,64,230
616,megi3dec,31,232
328,zephyr9,59,239
95,(Byungwoo.Jeon),116,241
632,greengaguri,30,243
109,hongsch1,107,249
290,eltmzhsj,64,250
397,freewild,51,262
422,keiasz,49,262
204,YunGoon,75,268
60,hillcanon,149,272
56,Frizzle,157,274
229,aeromind,71,275
615,altria0528,31,286
55,zhuny,157,288
130,younghan,97,290
120,whitehwarang,102,294
361,bits_and_scraps,54,295
413,wishsky02,50,297
18,Doju,220,299
503,(aj.haru.kim),39,299
27,changrak,201,304
700,kurukaka,26,307
113,ntalbs,106,311
468,kimdaye,44,312
15,Bubbler,232,316
614,yous,31,321
445,(junnyboy2008),46,324
178,About-Blank,80,325
699,co7799,26,325
675,beomjin.lee,27,334
698,y3pbg,26,339
487,ydh0110,41,340
117,keugbang,104,352
169,flagj,83,352
360,(tjyoo73),54,353
