rank,name,solved,recent
1,(jaehyunp),588,0
2,hongraejo,412,1581
3,shinminseon,331,0
4,ainu7,330,899
5,allenjeon,324,5
6,sungmin817,311,84
7,(ssk),307,842
8,emppu,262,118
9,(sunleonid),261,1499
10,kcm1700,257,1266
11,thkang,243,1746
12,muse,240,23
13,JiminP,238,1406
14,noxnia,234,486
15,Bubbler,232,316
16,kanie,230,439
17,Baekjoon,228,766
18,Doju,220,299
19,ipkn,218,1276
20,communia,210,1697
21,zlzmsrhak,209,196
22,Iris_harp,208,2347
23,petdrow,206,490
24,(lakshimi),205,645
25,sharb,204,2777
26,l10veu,202,2555
27,changrak,201,304
28,00,199,1433
29,jjhangu2,199,733
30,stenhammar,193,3481
31,eyTns,193,539
32,svchost.exe,193,166
33,uws8505,189,3355
34,(mecatos95d),188,1049
35,cfranck,187,0
36,bumsook,186,114
37,veshboo,184,173
38,udaque,181,1597
39,alexum,180,11
40,(wooyekim),178,1915
41,skim0119,177,33
42,optimizerjerry,176,2964
43,p.istrati,176,1859
44,Breakun,170,1297
45,lem,165,1420
46,ddaker,164,2497
47,Unused,164,460
48,jh05013,162,77
49,Teferi,161,3014
50,gok01172,160,2720
51,yongwhan,160,1133
52,kimrip,158,1002
53,choyb,157,3064
54,pjsdream,157,1112
55,zhuny,157,288
56,Frizzle,157,274
57,dalpaeng2,156,1022
58,(j1wan),153,712
59,Jungkeun,152,762
60,hillcanon,149,272
61,kjw0612,147,3164
62,absenty,142,2894
63,veblush,141,1958
64,tjfktj,141,797
65,larez,140,586
66,kyumyonglee,140,565
67,ychoi100,137,1392
68,(juncoder),134,1047
69,Kyoseon,133,2925
70,yadi0119,132,1643
71,HeeM,132,500
72,kgw0507,131,2582
73,hij8765,131,1546
74,colorized,131,510
75,(sy0414),130,740
76,Sait2000,130,43
77,bam8695,129,1077
78,hoo,128,2295
79,gsm291,128,2212
80,sehee382,127,2628
81,kazel,127,1278
82,rein01,125,3318
83,frigen,125,1792
84,go_to_dmc,125,709
85,dareun.geum,124,153
86,daewonyoon,123,859
87,daegeon,123,6
88,lifthrasiir,122,2427
89,(kth3321),121,2277
90,(chiwook),118,2052
91,kheled,117,2940
92,sutekine,117,2141
93,J.H.M.,117,89
94,EnDorphin,116,2075
95,(Byungwoo.Jeon),116,241
96,(kinetc),116,1
97,kyduke,114,181
98,DG,112,3195
99,falsetru,111,2963
100,yangbak,111,2064
101,neurome,110,1528
102,tpzcln,110,1351
103,insikk,110,1201
104,Abalcon,110,1076
105,Ainodyne,109,613
106,astein,108,354
107,teddywith,107,3129
108,PhoBiA,107,1204
109,hongsch1,107,249
110,xenosoz,106,2241
111,cdg720,106,2017
112,4135667,106,685
113,ntalbs,106,311
114,panda,105,1532
115,(pse1202),105,815
116,ehooizlo,104,1550
117,keugbang,104,352
118,dlimpid,103,2619
119,bosscq,102,1039
120,whitehwarang,102,294
121,libe,101,2085
122,joinsung,100,3680
123,sim0629,100,2717
124,nullstein,100,2468
125,(kparkeuler),100,53
126,(dalgu),100,16
127,ewmkkpe,98,2235
128,(ensual),98,2083
129,kiyohwan,97,1572
130,younghan,97,290
131,helicity,97,16
132,KimHoSik,96,3300
133,sangpaz,96,887
134,friend1226,96,175
135,(123harim),95,1160
136,dotorya,95,417
137,rai,94,2434
138,hwijung,94,510
139,desti,93,1992
140,king--kong,91,603
141,struessel,90,2045
142,epjs0126,90,1969
143,hitel00000,89,3559
144,skxmremd,89,1595
145,techshare,88,2243
146,laputan,88,2231
147,nineclue,88,183
148,pkim,87,3351
149,marocchino,87,3112
150,purluno,87,3037
151,junwhan,87,2458
152,wonyoung,87,1615
153,sanhalee,87,1538
154,thechaos16,87,892
155,KAKaMK,86,3122
156,gs13068,86,1552
157,(hodduc),86,418
158,chokobole,85,3425
159,kivol,85,3307
160,chattee,85,453
161,key262yek,85,191
162,wonsik,84,1722
163,sjnam,84,1662
164,Hydrogen,84,1070
165,(wichgreen),83,2849
166,kaisyu,83,2827
167,(eulpine),83,1021
168,puella1204,83,1012
169,flagj,83,352
170,dhkim16,82,1852
171,(ksthiv),82,1574
172,T.Eom,81,3250
173,hck5209,81,2690
174,milkskin,81,1858
175,EffectiveService,81,1790
176,woongy,80,1943
177,bdares,80,964
178,About-Blank,80,325
179,danox,79,3136
180,inzilion,79,2478
181,souldreamer,79,2333
182,jeonbyungwoo,79,965
183,kjk850,78,2946
184,doodoori2,78,2296
185,(JohnSeo),78,1104
186,seongjaelee,77,2331
187,(sungjinlee),77,1846
188,sukjoony,77,1698
189,seaguy,77,1504
190,ironlung,77,1095
191,Shongky,77,891
192,ch81.song,77,354
193,birmjin.in,77,128
194,moon020416,77,4
195,raymundo,76,2600
196,hothead,75,3040
197,nateburchell,75,2344
198,songsungkyun,75,2021
199,bingoo,75,2016
200,littlechun4,75,2006
201,solmonk,75,1617
202,ltdtl,75,1582
203,박상건,75,1022
204,YunGoon,75,268
205,zartoven,74,2691
206,vamf12,74,2543
207,kunbam09,74,1053
208,(bbaa1155),74,832
209,(gs13057),74,209
210,insany,73,2866
211,dkim90,73,1950
212,xoguslwkd,73,606
213,Oscillator,72,3421
214,trif,72,1837
215,hnjang810,72,1101
216,aleph0,72,979
217,NewPython,72,692
218,Corea,72,522
219,ssangkong,72,442
220,delfino4,72,69
221,drh,71,2974
222,motoko,71,2725
223,perryrage,71,2072
224,shwlinux,71,1670
225,jykim,71,1348
226,tapiko,71,1036
227,seul,71,773
228,proburner,71,689
229,aeromind,71,275
230,ntopia,70,3472
231,newshake,70,2960
232,jupiter7,70,1404
233,dpp5411,70,1298
234,naldo,70,888
235,changhoon,69,3038
236,sonsworld,69,2177
237,mnbv,69,1890
238,pomtech,69,1757
239,steloflute,69,1730
240,milkiss,69,1042
241,Ephemera,69,857
242,Peacemiki,69,832
243,dincal,69,497
244,rmsrk33,69,158
245,wandookong,69,134
246,dreamsboat,69,23
247,sirgrey,68,3685
248,uzhao,68,1924
249,byturn,68,1845
250,hacysean,68,1529
251,JAYS,68,1426
252,caooeep,68,1317
253,philmasterplus,68,1285
254,eminency,68,751
255,(hsm6911),68,664
256,(nersery),68,655
257,jihunroh-python,68,41
258,Chulho-Song,67,3409
259,fort726,67,3009
260,(posithinks),67,2431
261,blue9057,67,2203
262,gnitemouse,67,2025
263,ideale,67,1807
264,(soharu1024),67,1764
265,ibato,67,1633
266,heemin32,67,1569
267,thebarbershop,67,611
268,(ikisis),67,59
269,nomadlife,67,0
270,ILyoan,66,3008
271,flaugh,66,2130
272,combacsa,66,2025
273,(lemonkr),66,2021
274,StarNK,66,1650
275,irisagfe,66,1185
276,hylee,66,1074
277,greatstone,66,969
278,laytotayl,65,3189
279,gs10107,65,2443
280,yxp30,65,1616
281,bookman01,65,1163
282,cguy2000,65,925
283,espring,65,451
284,nonblock,65,214
285,deity,65,205
286,Eclipse412,64,1782
287,cramade,64,1349
288,(yeori),64,823
289,kreateark,64,584
290,eltmzhsj,64,250
291,sherhy,64,230
292,krieiter,63,2027
293,sukwoo49,63,1799
294,kchhero,63,1522
295,wsh0509,63,1260
296,jooyunghan,63,995
297,Veckal,63,638
298,(ZTZEROS),63,616
299,jacealan,63,137
300,calvados,62,2321
301,comkiwer,62,2045
302,(kismp123),62,1663
303,swchoi06,62,1507
304,arcadia88,62,956
305,runnie0427,62,719
306,aviness,62,710
307,jw.jung,62,627
308,boyboyhoo,62,358
309,legend12,61,3867
310,oky,61,3163
311,i274,61,1515
312,JongMan,61,1141
313,hiparkgss,61,177
314,TaeYoung,60,2699
315,boredashell99,60,2566
316,bst1206,60,1609
317,coprime,60,1419
