rank,name,solved,recent
397,(kinetc),51,0
56,cfranck,157,0
5,allenjeon,315,1
1,(jaehyunp),582,2
244,dreamsboat,69,2
12,muse,240,3
88,daegeon,122,5
42,alexum,171,7
347,mohenjo,56,10
39,skim0119,177,12
255,jihunroh-python,68,21
76,Sait2000,130,23
4,shinminseon,330,26
125,(dalgu),99,31
124,(kparkeuler),100,33
266,(ikisis),67,39
360,(yyc9268),54,39
396,Yearning,51,39
218,delfino4,72,49
47,jh05013,162,57
6,sungmin817,311,64
93,J.H.M.,117,68
35,bumsook,186,94
8,emppu,262,97
192,birmjin.in,77,108
353,(raifthenerd),55,108
243,wandookong,69,114
296,jacealan,63,116
372,16spark1,53,123
85,dareun.geum,124,133
242,rmsrk33,69,137
32,svchost.exe,193,146
36,veshboo,184,153
133,friend1226,96,155
310,hiparkgss,61,156
96,kyduke,114,161
146,nineclue,88,163
132,helicity,96,168
160,key262yek,85,171
21,zlzmsrhak,209,176
282,deity,65,185
346,qwe6580,56,188
207,(gs13057),74,189
281,nonblock,65,194
288,sherhy,64,210
326,zephyr9,59,219
95,(Byungwoo.Jeon),116,221
108,hongsch1,107,229
287,eltmzhsj,64,230
395,freewild,51,242
202,YunGoon,75,248
60,hillcanon,149,252
227,aeromind,71,254
55,Frizzle,157,254
54,zhuny,157,268
129,younghan,97,270
119,whitehwarang,102,273
359,bits_and_scraps,54,275
18,Doju,220,279
27,changrak,201,284
112,ntalbs,106,290
15,Bubbler,232,296
177,About-Blank,80,305
116,keugbang,104,332
168,flagj,83,332
358,(tjyoo73),54,333
105,astein,108,334
191,ch81.song,77,334
305,boyboyhoo,62,338
320,ssico7,60,340
319,lasher247,60,347
381,viciousagent86,52,352
334,(jaehaaheaj),57,377
135,dotorya,95,397
156,(hodduc),86,398
16,kanie,230,419
217,ssangkong,72,422
280,espring,65,431
159,chattee,85,433
46,Unused,164,440
14,noxnia,234,466
23,petdrow,206,470
241,dincal,69,477
71,HeeM,132,480
74,colorized,131,489
137,hwijung,94,490
216,Corea,72,502
31,eyTns,193,519
318,tyamazaki,60,540
317,fanoyong,60,542
66,kyumyonglee,140,544
345,luxewiz,56,547
286,kreateark,64,564
65,larez,140,566
139,king--kong,91,583
210,xoguslwkd,73,586
265,thebarbershop,67,591
104,Ainodyne,109,592
295,(ZTZEROS),63,596
304,jw.jung,62,607
294,Veckal,63,618
24,(lakshimi),205,625
254,(nersery),68,634
253,(hsm6911),68,644
111,4135667,106,664
226,proburner,71,669
215,NewPython,72,672
303,aviness,62,689
84,go_to_dmc,125,689
58,(j1wan),153,691
302,runnie0427,62,699
380,thumb,52,708
29,jjhangu2,199,713
75,(sy0414),130,720
394,hjl1595,51,728
252,eminency,68,731
59,Jungkeun,152,742
17,Baekjoon,228,746
225,seul,71,753
393,john-scarlet,51,767
64,tjfktj,141,777
114,(pse1202),105,795
285,(yeori),64,802
206,(bbaa1155),74,811
240,Peacemiki,69,812
7,(ssk),307,821
239,Ephemera,69,836
86,daewonyoon,123,839
131,sangpaz,96,867
232,naldo,70,868
190,Shongky,77,870
153,thechaos16,87,872
3,ainu7,330,879
316,zxcxz7,60,881
279,cguy2000,65,905
301,arcadia88,62,936
176,bdares,80,944
181,jeonbyungwoo,79,945
274,greatstone,66,949
392,(jins02),51,956
214,aleph0,72,959
293,jooyunghan,63,975
379,yangjy0113,52,979
51,kimrip,158,982
167,puella1204,83,992
166,(eulpine),83,1001
201,박상건,75,1002
57,dalpaeng2,156,1002
224,tapiko,71,1016
118,bosscq,102,1019
238,milkiss,69,1022
68,(juncoder),134,1027
34,(mecatos95d),188,1029
205,kunbam09,74,1033
378,(albert_park),52,1036
371,AmorEtSpero,53,1039
391,ybjeon01,51,1044
163,Hydrogen,84,1050
273,hylee,66,1054
103,Abalcon,110,1056
77,bam8695,129,1057
189,ironlung,77,1075
213,hnjang810,72,1080
184,(JohnSeo),78,1083
53,pjsdream,157,1092
50,yongwhan,160,1113
309,JongMan,61,1121
370,hyunhwan,53,1128
377,yoloseem,52,1129
134,(123harim),95,1139
278,bookman01,65,1143
272,irisagfe,66,1165
315,optatum,60,1170
352,yimjy1996,55,1173
102,insikk,110,1181
325,protos37,59,1182
107,PhoBiA,107,1184
369,etoilebleu06,53,1225
330,(tintin5108),58,1229
292,wsh0509,63,1240
10,kcm1700,257,1246
19,ipkn,218,1256
81,kazel,127,1258
251,philmasterplus,68,1265
43,Breakun,170,1277
231,dpp5411,70,1278
351,(DarkAngel),55,1292
250,caooeep,68,1296
344,(lkkpou),56,1296
368,rhs0266,53,1315
223,jykim,71,1328
284,cramade,64,1329
101,tpzcln,110,1331
350,yeonseung.kim,55,1331
329,hakenstock,58,1335
67,ychoi100,137,1372
230,jupiter7,70,1384
13,JiminP,238,1385
314,coprime,60,1398
44,lem,165,1400
249,JAYS,68,1406
28,00,199,1413
9,(sunleonid),261,1478
328,(mighty93),58,1483
188,seaguy,77,1484
300,swchoi06,62,1486
308,i274,61,1495
291,kchhero,63,1502
100,neurome,110,1508
248,hacysean,68,1509
113,panda,105,1511
152,sanhalee,87,1518
73,hij8765,131,1526
115,ehooizlo,104,1530
155,gs13068,86,1532
390,greentec,51,1548
264,heemin32,67,1549
128,kiyohwan,97,1552
170,(ksthiv),82,1554
2,hongraejo,412,1561
200,ltdtl,75,1562
143,skxmremd,89,1575
37,udaque,181,1577
389,glastonbury,51,1577
313,bst1206,60,1589
151,wonyoung,87,1595
277,yxp30,65,1596
388,eva0071,51,1596
199,solmonk,75,1597
263,ibato,67,1613
343,(rynn5419),56,1614
70,yadi0119,132,1623
271,StarNK,66,1630
162,sjnam,84,1642
299,(kismp123),62,1643
222,shwlinux,71,1650
367,yunskim,53,1668
387,(spyrogira256),51,1671
20,communia,210,1677
187,sukjoony,77,1678
161,wonsik,84,1702
237,steloflute,69,1710
11,thkang,243,1726
236,pomtech,69,1737
262,(soharu1024),67,1744
324,MagicalOrb,59,1745
386,sven_,51,1750
333,siscos,57,1751
283,Eclipse412,64,1762
174,EffectiveService,81,1770
83,frigen,125,1772
290,sukwoo49,63,1779
261,ideale,67,1787
332,jhyun95,57,1793
366,ruunak,53,1798
349,indrazit,55,1808
212,trif,72,1816
323,brp-matlab,59,1817
247,byturn,68,1825
186,(sungjinlee),77,1826
169,dhkim16,82,1832
173,milkskin,81,1838
41,p.istrati,176,1839
385,boldragon,51,1846
235,mnbv,69,1870
38,(wooyekim),178,1895
246,uzhao,68,1904
175,woongy,80,1923
209,dkim90,73,1930
63,veblush,141,1938
141,epjs0126,90,1948
138,desti,93,1972
198,littlechun4,75,1986
197,bingoo,75,1995
110,cdg720,106,1996
342,m.Shin,56,2000
196,songsungkyun,75,2001
270,(lemonkr),66,2001
260,gnitemouse,67,2004
269,combacsa,66,2005
289,krieiter,63,2007
140,struessel,90,2025
298,comkiwer,62,2025
365,yielding,53,2031
90,(chiwook),118,2032
99,yangbak,111,2044
384,singleheart,51,2046
221,perryrage,71,2052
94,EnDorphin,116,2054
127,(ensual),98,2062
120,libe,101,2065
268,flaugh,66,2109
92,sutekine,117,2121
234,sonsworld,69,2157
259,blue9057,67,2183
79,gsm291,128,2192
145,laputan,88,2210
126,ewmkkpe,98,2215
109,xenosoz,106,2221
144,techshare,88,2223
341,asimov79,56,2223
89,(kth3321),121,2257
183,doodoori2,78,2275
78,hoo,128,2275
297,calvados,62,2301
185,seongjaelee,77,2311
180,souldreamer,79,2313
195,nateburchell,75,2324
22,Iris_harp,208,2326
364,Mastojun,53,2333
363,seoleda,53,2345
340,akmakk,56,2374
327,Holics,58,2378
339,zidarn,56,2380
87,lifthrasiir,122,2407
258,(posithinks),67,2411
136,rai,94,2414
357,Clatue,54,2419
276,gs10107,65,2423
150,junwhan,87,2438
123,nullstein,100,2448
179,inzilion,79,2458
45,ddaker,164,2477
338,ruwin126,56,2481
204,vamf12,74,2523
356,hongjun7,54,2530
26,l10veu,202,2535
312,boredashell99,60,2545
72,kgw0507,131,2562
193,raymundo,76,2580
117,dlimpid,103,2598
80,sehee382,127,2608
172,hck5209,81,2670
203,zartoven,74,2671
322,totworld,59,2676
311,TaeYoung,60,2679
383,sinjimua,51,2680
122,sim0629,100,2696
49,gok01172,160,2700
220,motoko,71,2704
25,sharb,204,2757
382,john3374,51,2779
165,kaisyu,83,2807
164,(wichgreen),83,2829
208,insany,73,2846
400,Informatica_Kim,50,2857
62,absenty,142,2874
376,deisys,52,2891
362,dbcat,53,2895
69,Kyoseon,133,2905
91,kheled,117,2920
182,kjk850,78,2926
337,yojo1000,56,2931
229,newshake,70,2940
98,falsetru,111,2943
40,optimizerjerry,176,2944
219,drh,71,2954
267,ILyoan,66,2988
257,fort726,67,2989
48,Teferi,161,2994
336,wildartist,56,3000
399,wmftsa,50,3015
149,purluno,87,3017
233,changhoon,69,3018
194,hothead,75,3020
335,greatkes,56,3035
361,samerook,53,3038
52,choyb,157,3044
355,shurain,54,3050
331,unbing,57,3089
148,marocchino,87,3092
154,KAKaMK,86,3102
106,teddywith,107,3109
178,danox,79,3116
307,oky,61,3143
61,kjw0612,147,3144
275,laytotayl,65,3169
375,codejack,52,3175
97,DG,112,3175
171,T.Eom,81,3229
374,ejholic,52,3259
130,KimHoSik,96,3280
354,shuvh,54,3285
158,kivol,85,3287
82,rein01,125,3297
147,pkim,87,3331
373,dish,52,3331
33,uws8505,189,3335
348,kang249,55,3373
256,Chulho-Song,67,3389
211,Oscillator,72,3401
157,chokobole,85,3405
228,ntopia,70,3452
30,stenhammar,193,3461
142,hitel00000,89,3538
121,joinsung,100,3659
245,sirgrey,68,3665
306,legend12,61,3847
398,RisingCrow,50,4064
