rank,name,solved,recent
1,(jaehyunp),582,2
2,hongraejo,412,1561
3,ainu7,330,879
4,shinminseon,330,26
5,allenjeon,315,1
6,sungmin817,311,64
7,(ssk),307,821
8,emppu,262,97
9,(sunleonid),261,1478
10,kcm1700,257,1246
11,thkang,243,1726
12,muse,240,3
13,JiminP,238,1385
14,noxnia,234,466
15,Bubbler,232,296
16,kanie,230,419
17,Baekjoon,228,746
18,Doju,220,279
19,ipkn,218,1256
20,communia,210,1677
21,zlzmsrhak,209,176
22,Iris_harp,208,2326
23,petdrow,206,470
24,(lakshimi),205,625
25,sharb,204,2757
26,l10veu,202,2535
27,changrak,201,284
28,00,199,1413
29,jjhangu2,199,713
30,stenhammar,193,3461
31,eyTns,193,519
32,svchost.exe,193,146
33,uws8505,189,3335
34,(mecatos95d),188,1029
35,bumsook,186,94
36,veshboo,184,153
37,udaque,181,1577
38,(wooyekim),178,1895
39,skim0119,177,12
40,optimizerjerry,176,2944
41,p.istrati,176,1839
42,alexum,171,7
43,Breakun,170,1277
44,lem,165,1400
45,ddaker,164,2477
46,Unused,164,440
47,jh05013,162,57
48,Teferi,161,2994
49,gok01172,160,2700
50,yongwhan,160,1113
51,kimrip,158,982
52,choyb,157,3044
53,pjsdream,157,1092
54,zhuny,157,268
55,Frizzle,157,254
56,cfranck,157,0
57,dalpaeng2,156,1002
58,(j1wan),153,691
59,Jungkeun,152,742
60,hillcanon,149,252
61,kjw0612,147,3144
62,absenty,142,2874
63,veblush,141,1938
64,tjfktj,141,777
65,larez,140,566
66,kyumyonglee,140,544
67,ychoi100,137,1372
68,(juncoder),134,1027
69,Kyoseon,133,2905
70,yadi0119,132,1623
71,HeeM,132,480
72,kgw0507,131,2562
73,hij8765,131,1526
74,colorized,131,489
75,(sy0414),130,720
76,Sait2000,130,23
77,bam8695,129,1057
78,hoo,128,2275
79,gsm291,128,2192
80,sehee382,127,2608
81,kazel,127,1258
82,rein01,125,3297
83,frigen,125,1772
84,go_to_dmc,125,689
85,dareun.geum,124,133
86,daewonyoon,123,839
87,lifthrasiir,122,2407
88,daegeon,122,5
89,(kth3321),121,2257
90,(chiwook),118,2032
91,kheled,117,2920
92,sutekine,117,2121
93,J.H.M.,117,68
94,EnDorphin,116,2054
95,(Byungwoo.Jeon),116,221
96,kyduke,114,161
97,DG,112,3175
98,falsetru,111,2943
99,yangbak,111,2044
100,neurome,110,1508
101,tpzcln,110,1331
102,insikk,110,1181
103,Abalcon,110,1056
104,Ainodyne,109,592
105,astein,108,334
106,teddywith,107,3109
107,PhoBiA,107,1184
108,hongsch1,107,229
109,xenosoz,106,2221
110,cdg720,106,1996
111,4135667,106,664
112,ntalbs,106,290
113,panda,105,1511
114,(pse1202),105,795
115,ehooizlo,104,1530
116,keugbang,104,332
117,dlimpid,103,2598
118,bosscq,102,1019
119,whitehwarang,102,273
120,libe,101,2065
121,joinsung,100,3659
122,sim0629,100,2696
123,nullstein,100,2448
124,(kparkeuler),100,33
125,(dalgu),99,31
126,ewmkkpe,98,2215
127,(ensual),98,2062
128,kiyohwan,97,1552
129,younghan,97,270
130,KimHoSik,96,3280
131,sangpaz,96,867
132,helicity,96,168
133,friend1226,96,155
134,(123harim),95,1139
135,dotorya,95,397
136,rai,94,2414
