|------+--------------------------------------------------------------------+---------|
|  id  | subject                                                            | solved  |
|------+--------------------------------------------------------------------+---------|
|  1   | Multiples of 3 and 5                                               | 771871  |
|  2   | Even Fibonacci numbers                                             | 619568  |
|  3   | Largest prime factor                                               | 443465  |
|  4   | Largest palindrome product                                         | 394503  |
|  5   | Smallest multiple                                                  | 402470  |
|  6   | Sum square difference                                              | 404867  |
|  7   | 10001st prime                                                      | 346477  |
|  8   | Largest product in a series                                        | 292321  |
|  9   | Special Pythagorean triplet                                        | 295416  |
|  10  | Summation of primes                                                | 270913  |
|  11  | Largest product in a grid                                          | 196156  |
|  12  | Highly divisible triangular number                                 | 183494  |
|  13  | Large sum                                                          | 189087  |
|  14  | Longest Collatz sequence                                           | 188721  |
|  15  | Lattice paths                                                      | 155943  |
|  16  | Power digit sum                                                    | 190786  |
|  17  | Number letter counts                                               | 126834  |
|  18  | Maximum path sum I                                                 | 121858  |
|  19  | Counting Sundays                                                   | 113282  |
|  20  | Factorial digit sum                                                | 167045  |
|  21  | Amicable numbers                                                   | 122361  |
|  22  | Names scores                                                       | 112876  |
|  23  | Non-abundant sums                                                  | 86809   |
|  24  | Lexicographic permutations                                         | 96441   |
|  25  | 1000-digit Fibonacci number                                        | 130487  |
|  26  | Reciprocal cycles                                                  | 69955   |
|  27  | Quadratic primes                                                   | 73117   |
|  28  | Number spiral diagonals                                            | 91832   |
|  29  | Distinct powers                                                    | 87921   |
|  30  | Digit fifth powers                                                 | 92101   |
|  31  | Coin sums                                                          | 70508   |
|  32  | Pandigital products                                                | 59398   |
|  33  | Digit cancelling fractions                                         | 60124   |
|  34  | Digit factorials                                                   | 79092   |
|  35  | Circular primes                                                    | 71365   |
|  36  | Double-base palindromes                                            | 75172   |
|  37  | Truncatable primes                                                 | 61768   |
|  38  | Pandigital multiples                                               | 52603   |
|  39  | Integer right triangles                                            | 61219   |
|  40  | Champernowne's constant                                            | 67395   |
|  41  | Pandigital prime                                                   | 56973   |
|  42  | Coded triangle numbers                                             | 62890   |
|  43  | Sub-string divisibility                                            | 49727   |
|  44  | Pentagon numbers                                                   | 48313   |
|  45  | Triangular, pentagonal, and hexagonal                              | 59867   |
|  46  | Goldbach's other conjecture                                        | 51116   |
|  47  | Distinct primes factors                                            | 48274   |
|  48  | Self powers                                                        | 95843   |
|  49  | Prime permutations                                                 | 48277   |
|  50  | Consecutive prime sum                                              | 51975   |
|  51  | Prime digit replacements                                           | 27293   |
|  52  | Permuted multiples                                                 | 54947   |
|  53  | Combinatoric selections                                            | 49537   |
|  54  | Poker hands                                                        | 29278   |
|  55  | Lychrel numbers                                                    | 45039   |
|  56  | Powerful digit sum                                                 | 48820   |
|  57  | Square root convergents                                            | 34308   |
|  58  | Spiral primes                                                      | 33234   |
|  59  | XOR decryption                                                     | 34737   |
|  60  | Prime pair sets                                                    | 21385   |
|  61  | Cyclical figurate numbers                                          | 20785   |
|  62  | Cubic permutations                                                 | 25644   |
|  63  | Powerful digit counts                                              | 35877   |
|  64  | Odd period square roots                                            | 18042   |
|  65  | Convergents of e                                                   | 24787   |
|  66  | Diophantine equation                                               | 16038   |
|  67  | Maximum path sum II                                                | 81906   |
|  68  | Magic 5-gon ring                                                   | 16965   |
|  69  | Totient maximum                                                    | 28315   |
|  70  | Totient permutation                                                | 18317   |
|  71  | Ordered fractions                                                  | 23969   |
|  72  | Counting fractions                                                 | 18296   |
|  73  | Counting fractions in a range                                      | 20801   |
|  74  | Digit factorial chains                                             | 21986   |
|  75  | Singular integer right triangles                                   | 14625   |
|  76  | Counting summations                                                | 23616   |
|  77  | Prime summations                                                   | 15570   |
|  78  | Coin partitions                                                    | 13708   |
|  79  | Passcode derivation                                                | 35482   |
|  80  | Square root digital expansion                                      | 16372   |
|  81  | Path sum: two ways                                                 | 28832   |
|  82  | Path sum: three ways                                               | 17504   |
|  83  | Path sum: four ways                                                | 14969   |
|  84  | Monopoly odds                                                      | 10200   |
|  85  | Counting rectangles                                                | 20504   |
|  86  | Cuboid route                                                       | 10309   |
|  87  | Prime power triples                                                | 17176   |
|  88  | Product-sum numbers                                                | 7993    |
|  89  | Roman numerals                                                     | 17913   |
|  90  | Cube digit pairs                                                   | 8983    |
|  91  | Right triangles with integer coordinates                           | 12632   |
|  92  | Square digit chains                                                | 35177   |
