|------+--------------------------------------------------------------------+---------|
|  id  | subject                                                            | solved  |
|  93  | Arithmetic expressions                                             | 9456    |
|  94  | Almost equilateral triangles                                       | 9877    |
|  95  | Amicable chains                                                    | 11521   |
|  96  | Su Doku                                                            | 13873   |
|  97  | Large non-Mersenne prime                                           | 37370   |
|  98  | Anagramic squares                                                  | 9108    |
|  99  | Largest exponential                                                | 25419   |
|  100 | Arranged probability                                               | 13147   |
|  101 | Optimum polynomial                                                 | 9101    |
|  102 | Triangle containment                                               | 18039   |
|  103 | Special subset sums: optimum                                       | 6398    |
|  104 | Pandigital Fibonacci ends                                          | 13457   |
|  105 | Special subset sums: testing                                       | 6415    |
|  106 | Special subset sums: meta-testing                                  | 5119    |
|  107 | Minimal network                                                    | 9045    |
|  108 | Diophantine reciprocals I                                          | 10536   |
|  109 | Darts                                                              | 6567    |
|  110 | Diophantine reciprocals II                                         | 6619    |
|  111 | Primes with runs                                                   | 5811    |
|  112 | Bouncy numbers                                                     | 20428   |
|  113 | Non-bouncy numbers                                                 | 9148    |
|  114 | Counting block combinations I                                      | 8879    |
|  115 | Counting block combinations II                                     | 8122    |
|  116 | Red, green or blue tiles                                           | 9923    |
|  117 | Red, green, and blue tiles                                         | 9103    |
|  118 | Pandigital prime sets                                              | 5544    |
|  119 | Digit power sum                                                    | 10122   |
|  120 | Square remainders                                                  | 11482   |
|  121 | Disc game prize fund                                               | 7958    |
|  122 | Efficient exponentiation                                           | 6280    |
|  123 | Prime square remainders                                            | 9536    |
|  124 | Ordered radicals                                                   | 11538   |
|  125 | Palindromic sums                                                   | 11253   |
|  126 | Cuboid layers                                                      | 3734    |
|  127 | abc-hits                                                           | 4984    |
|  128 | Hexagonal tile differences                                         | 3977    |
|  129 | Repunit divisibility                                               | 5107    |
|  130 | Composites with prime repunit property                             | 4801    |
|  131 | Prime cube partnership                                             | 6023    |
|  132 | Large repunit factors                                              | 5156    |
|  133 | Repunit nonfactors                                                 | 4461    |
|  134 | Prime pair connection                                              | 5688    |
|  135 | Same differences                                                   | 5173    |
|  136 | Singleton difference                                               | 4530    |
|  137 | Fibonacci golden nuggets                                           | 4384    |
|  138 | Special isosceles triangles                                        | 4678    |
|  139 | Pythagorean tiles                                                  | 4513    |
|  140 | Modified Fibonacci golden nuggets                                  | 3419    |
|  141 | [Investigating progressive numbers, , which are also square]       | 3060    |
|  142 | Perfect Square Collection                                          | 4737    |
|  143 | Investigating the Torricelli point of a triangle                   | 2099    |
|  144 | Investigating multiple reflections of a laser beam                 | 5006    |
|  145 | How many reversible numbers are there below one-billion?           | 13733   |
|  146 | Investigating a Prime Pattern                                      | 4041    |
|  147 | Rectangles in cross-hatched grids                                  | 2367    |
|  148 | Exploring Pascal's triangle                                        | 4154    |
|  149 | Searching for a maximum-sum subsequence                            | 3920    |
|  150 | Searching a triangular array for a sub-triangle having minimum-sum | 3194    |
|------+--------------------------------------------------------------------+---------|
