|------+--------------------------------------------------------------------+---------|
|  id  | subject                                                            | solved  |
|------+--------------------------------------------------------------------+---------|
|  1   | Multiples of 3 and 5                                               | 789149  |
|  2   | Even Fibonacci numbers                                             | 632470  |
|  3   | Largest prime factor                                               | 452474  |
|  4   | Largest palindrome product                                         | 402115  |
|  5   | Smallest multiple                                                  | 409846  |
|  6   | Sum square difference                                              | 412267  |
|  7   | 10001st prime                                                      | 352732  |
|  8   | Largest product in a series                                        | 297118  |
|  9   | Special Pythagorean triplet                                        | 300412  |
|  10  | Summation of primes                                                | 275375  |
|  11  | Largest product in a grid                                          | 199068  |
|  12  | Highly divisible triangular number                                 | 186375  |
|  13  | Large sum                                                          | 191897  |
|  14  | Longest Collatz sequence                                           | 191666  |
|  15  | Lattice paths                                                      | 158241  |
|  16  | Power digit sum                                                    | 193763  |
|  17  | Number letter counts                                               | 128649  |
|  18  | Maximum path sum I                                                 | 123540  |
|  19  | Counting Sundays                                                   | 114803  |
|  20  | Factorial digit sum                                                | 169375  |
|  21  | Amicable numbers                                                   | 124060  |
|  22  | Names scores                                                       | 114512  |
|  23  | Non-abundant sums                                                  | 88026   |
|  24  | Lexicographic permutations                                         | 97723   |
|  25  | 1000-digit Fibonacci number                                        | 132303  |
|  26  | Reciprocal cycles                                                  | 70919   |
|  27  | Quadratic primes                                                   | 74077   |
|  28  | Number spiral diagonals                                            | 92960   |
|  29  | Distinct powers                                                    | 89136   |
|  30  | Digit fifth powers                                                 | 93351   |
|  31  | Coin sums                                                          | 71476   |
|  32  | Pandigital products                                                | 60181   |
|  33  | Digit cancelling fractions                                         | 60875   |
|  34  | Digit factorials                                                   | 80105   |
|  35  | Circular primes                                                    | 72270   |
|  36  | Double-base palindromes                                            | 76101   |
|  37  | Truncatable primes                                                 | 62569   |
|  38  | Pandigital multiples                                               | 53296   |
|  39  | Integer right triangles                                            | 62028   |
|  40  | Champernowne's constant                                            | 68254   |
|  41  | Pandigital prime                                                   | 57734   |
|  42  | Coded triangle numbers                                             | 63643   |
|  43  | Sub-string divisibility                                            | 50402   |
|  44  | Pentagon numbers                                                   | 48969   |
|  45  | Triangular, pentagonal, and hexagonal                              | 60644   |
|  46  | Goldbach's other conjecture                                        | 51817   |
|  47  | Distinct primes factors                                            | 48909   |
|  48  | Self powers                                                        | 97048   |
|  49  | Prime permutations                                                 | 48934   |
|  50  | Consecutive prime sum                                              | 52670   |
|  51  | Prime digit replacements                                           | 27724   |
|  52  | Permuted multiples                                                 | 55652   |
|  53  | Combinatoric selections                                            | 50178   |
|  54  | Poker hands                                                        | 29750   |
|  55  | Lychrel numbers                                                    | 45663   |
|  56  | Powerful digit sum                                                 | 49451   |
|  57  | Square root convergents                                            | 34777   |
|  58  | Spiral primes                                                      | 33660   |
|  59  | XOR decryption                                                     | 35203   |
|  60  | Prime pair sets                                                    | 21697   |
|  61  | Cyclical figurate numbers                                          | 21052   |
|  62  | Cubic permutations                                                 | 25989   |
|  63  | Powerful digit counts                                              | 36332   |
|  64  | Odd period square roots                                            | 18278   |
|  65  | Convergents of e                                                   | 25115   |
|  66  | Diophantine equation                                               | 16244   |
|  67  | Maximum path sum II                                                | 82904   |
|  68  | Magic 5-gon ring                                                   | 17188   |
|  69  | Totient maximum                                                    | 28726   |
|  70  | Totient permutation                                                | 18534   |
|  71  | Ordered fractions                                                  | 24321   |
|  72  | Counting fractions                                                 | 18538   |
