rank,id,solved,last_solved
1=,id_1135324_,600+,radeye last solved a problem 13 days ago
1=,id_19599_,600+,beta_projects last solved a problem 2 days ago
1=,id_658132_,600+,dev_random last solved a problem 154 days ago
1=,id_413481_,600+,willhsmit last solved a problem 1 day ago
1=,id_61197_,600+,Stache last solved a problem 12 days ago
1=,id_80083_,600+,al13n last solved a problem 69 days ago
1=,id_30130_,600+,unime last solved a problem 11 days ago
1=,id_258426_,600+,cmk last solved a problem 13 days ago
9,id_241319_,594,ving last solved a problem 2 days ago
10,id_38568_,591,(MarcusAndrews) last solved a problem 424 days ago
11,id_257386_,571,binonunquineist last solved a problem 279 days ago
12,id_981031_,569,SlavaKabanovich last solved a problem 13 days ago
13,id_253921_,568,akdheirl last solved a problem 279 days ago
14,id_668047_,558,mathseal last solved a problem 58 days ago
15,id_192346_,540,ubiquitousgrape last solved a problem 6 days ago
16,id_65349_,539,DerekLedbetter last solved a problem 13 days ago
17,id_344732_,521,pyrolykos last solved a problem 23 days ago
18,id_96401_,520,(sivakd) last solved a problem 139 days ago
19,id_116003_,513,aruff last solved a problem 144 days ago
20,id_77108_,502,(kingvash) last solved a problem 226 days ago
21,id_236_,493,Eigenray last solved a problem 343 days ago
22,id_29845_,488,devjoe last solved a problem 5 days ago
23,id_68512_,486,phsr last solved a problem 151 days ago
24,id_510484_,480,pwensing last solved a problem 200 days ago
25,id_214193_,479,ecnerwala last solved a problem 2 days ago
26,id_649112_,471,antwerpn last solved a problem 370 days ago
27,id_88071_,459,rprestezog last solved a problem 558 days ago
28,id_9204_,456,mathguy314 last solved a problem 1116 days ago
29,id_105637_,456,amcalde last solved a problem 22 days ago
30,id_34275_,451,silver83p last solved a problem 6 days ago
31,id_299067_,449,doctornick5 last solved a problem 185 days ago
32,id_41865_,447,Murphy last solved a problem 74 days ago
33,id_168255_,446,(jpaulson) last solved a problem 25 days ago
34,id_136905_,442,(DjinnKahn) last solved a problem 1589 days ago
35,id_1826_,442,neverforget last solved a problem 881 days ago
36,id_281859_,437,supdude1 last solved a problem 1544 days ago
37,id_1095482_,437,Robert_OConnor last solved a problem 27 days ago
38,id_178551_,433,thundre last solved a problem 1392 days ago
39,id_990115_,423,16777216 last solved a problem within the past day
40,id_858911_,420,pismobiker last solved a problem 3 days ago
41,id_214801_,418,moovybuf last solved a problem within the past day
42,id_440567_,417,mckennar last solved a problem 349 days ago
43,id_1755_,413,(PeterW) last solved a problem 391 days ago
44,id_482880_,412,mrauen last solved a problem 216 days ago
45,id_503563_,410,donhatch last solved a problem 312 days ago
46,id_97123_,408,oldpatzer last solved a problem 161 days ago
47,id_949983_,401,tcarr last solved a problem 15 days ago
48,id_513791_,398,modem last solved a problem 9 days ago
49,id_174740_,397,nirenjan last solved a problem 1972 days ago
50,id_325325_,397,(Rapptz) last solved a problem 677 days ago
51,id_1077387_,396,bdolson last solved a problem 1 day ago
52,id_414245_,392,universalset last solved a problem 140 days ago
53,id_481729_,390,candells last solved a problem 77 days ago
54,id_1027729_,388,Anton_Chigurh last solved a problem 2 days ago
55,id_160459_,384,(ChamZord) last solved a problem 2150 days ago
56,id_357148_,379,shazzam last solved a problem 1545 days ago
57,id_97439_,379,dgiaimo last solved a problem 87 days ago
58,id_959608_,377,stevefr01 last solved a problem within the past day
59,id_393379_,376,(davin) last solved a problem 1163 days ago
60,id_113460_,373,jboeing last solved a problem 677 days ago
61,id_67390_,372,navghtivs last solved a problem 117 days ago
62,id_215431_,371,(jake223) last solved a problem 11 days ago
63,id_265746_,368,grantcarlson last solved a problem 115 days ago
64,id_52583_,367,Ben.Smallpox last solved a problem 1222 days ago
65,id_284965_,367,(kelvinator) last solved a problem 68 days ago
66,id_39572_,367,mark last solved a problem 44 days ago
67,id_727125_,364,s.c.koehler last solved a problem 22 days ago
68,id_267015_,362,Anyun last solved a problem 2145 days ago
69,id_102127_,359,lackritz last solved a problem 10 days ago
70,id_701265_,358,CreativeUsername last solved a problem 327 days ago
71,id_126774_,357,diffeqkid last solved a problem 817 days ago
72,id_579186_,356,DanRoss53 last solved a problem 506 days ago
73,id_74041_,356,jarsyl last solved a problem 424 days ago
74,id_273914_,356,(fahrbach) last solved a problem 111 days ago
75,id_1193_,355,cdoumar last solved a problem 1976 days ago
76,id_127455_,355,eporter last solved a problem 1886 days ago
