rank,id,solved,last_solved
1=,id_88001_,600+,inamori last solved a problem within the past day
1=,id_115989_,600+,utomaya last solved a problem 13 days ago
1=,id_434751_,600+,Min_25 last solved a problem 14 days ago
1=,id_46366_,600+,uwi last solved a problem 14 days ago
5,id_814079_,539,haruya last solved a problem 2 days ago
6,id_825953_,502,ax8529221 last solved a problem 24 days ago
7,id_143828_,486,triceps last solved a problem 1127 days ago
8,id_36274_,483,xsd last solved a problem 55 days ago
9,id_160000_,473,jun0 last solved a problem 1308 days ago
10,id_98631_,439,chaemon last solved a problem 679 days ago
11,id_286268_,419,ariom44 last solved a problem 4 days ago
12,id_900353_,414,rokusuke last solved a problem 2 days ago
13,id_250976_,412,jujaji last solved a problem 458 days ago
14,id_106411_,404,rng_58 last solved a problem 1757 days ago
15,id_380249_,398,maikaze last solved a problem 21 days ago
16,id_360464_,391,__math last solved a problem 456 days ago
17,id_983952_,391,hidesugar last solved a problem 5 days ago
18,id_382717_,384,maspuyo last solved a problem 393 days ago
19,id_368127_,383,Takai last solved a problem 2146 days ago
20,id_28646_,383,tsuchiya.yoshihiro last solved a problem 393 days ago
21,id_141217_,380,touma last solved a problem 1 day ago
22,id_63662_,378,niino last solved a problem 1603 days ago
23,id_37582_,378,kozima last solved a problem 195 days ago
24,id_648345_,367,manman last solved a problem 121 days ago
25,id_82344_,360,Kawazoe last solved a problem 1840 days ago
26,id_55571_,357,jeneshicc last solved a problem 1144 days ago
27,id_75070_,344,sarasouju last solved a problem 345 days ago
28,id_28875_,333,hakase last solved a problem 2217 days ago
29,id_154985_,328,herumi last solved a problem 1657 days ago
30,id_830744_,321,lycaste last solved a problem 14 days ago
31,id_176448_,319,natsugiri last solved a problem 245 days ago
32,id_27983_,318,mame last solved a problem 2480 days ago
33,id_889827_,316,(garnacha) last solved a problem 28 days ago
34,id_129922_,310,tokoharu last solved a problem 447 days ago
35,id_716532_,304,SANSEN last solved a problem 37 days ago
36,id_812471_,303,(Lenqth) last solved a problem 113 days ago
37,id_85405_,299,kyusuke last solved a problem 1795 days ago
38,id_50836_,299,naoya_t last solved a problem 839 days ago
39,id_103958_,296,pp6pk last solved a problem 96 days ago
40,id_595110_,289,imgry22 last solved a problem 2 days ago
41,id_154581_,288,stqn last solved a problem 1140 days ago
42,id_137807_,283,koji_t last solved a problem 853 days ago
43,id_26001_,281,kaoru last solved a problem 2827 days ago
44,id_525638_,281,nu4nu last solved a problem 249 days ago
45,id_245272_,280,ko12345 last solved a problem 1030 days ago
46,id_319667_,275,yasuyuki_abe last solved a problem 111 days ago
47,id_902381_,271,sO3SrLCr4Rqb00Zr4nIYCVBPZ_oFimST last solved a problem 130 days ago
48,id_120880_,270,tak last solved a problem 1675 days ago
49,id_125834_,269,cddddr last solved a problem 1390 days ago
50,id_141837_,265,steelydon last solved a problem 1928 days ago
51,id_152885_,264,airobo last solved a problem 2064 days ago
52,id_75292_,264,Mi_Sawa last solved a problem 1079 days ago
53,id_176401_,261,walkover last solved a problem 404 days ago
54,id_522533_,261,my316g last solved a problem 144 days ago
55,id_28820_,259,Rio last solved a problem 3021 days ago
56,id_1111145_,258,aitdccd last solved a problem 18 days ago
57,id_471742_,257,ecottea last solved a problem 961 days ago
58,id_29464_,252,rst76 last solved a problem 3235 days ago
59,id_36182_,250,tbsk last solved a problem 2637 days ago
60,id_36564_,247,T_GYOUTEN last solved a problem 2321 days ago
61,id_28589_,247,ush last solved a problem 1241 days ago
62,id_383862_,245,homuler last solved a problem 1393 days ago
63,id_28318_,245,tomerun last solved a problem 560 days ago
