rank,id,solved,last_solved
1=,id_437133_,600+,roosephu last solved a problem 9 days ago
1=,id_274577_,600+,baihacker last solved a problem 13 days ago
1=,id_97964_,600+,Jrdevil last solved a problem 8 days ago
1=,id_590364_,600+,(whatsup) last solved a problem 21 days ago
1=,id_593952_,600+,lizhusong922 last solved a problem 13 days ago
1=,id_625856_,600+,skyivben last solved a problem within the past day
7,id_204842_,526,eagles last solved a problem 34 days ago
8,id_226589_,520,cheng.di last solved a problem 320 days ago
9,id_277109_,517,LatticeGuy last solved a problem 146 days ago
10,id_536468_,510,taizhou last solved a problem 46 days ago
11,id_634007_,494,bukebuer last solved a problem 47 days ago
12,id_259912_,446,(lld2006) last solved a problem 457 days ago
13,id_835872_,439,Shawnmaza last solved a problem 13 days ago
14,id_51172_,436,tec last solved a problem 115 days ago
15,id_1265324_,433,vxv last solved a problem 13 days ago
16,id_407112_,433,liuguangxi last solved a problem 13 days ago
17,id_179229_,420,dhu_try last solved a problem 1716 days ago
18,id_294964_,408,GaoZone last solved a problem 111 days ago
19,id_244184_,399,driversetc last solved a problem 44 days ago
20,id_38058_,387,ZhouYuChen last solved a problem 567 days ago
21,id_190303_,386,Jackalope last solved a problem 2041 days ago
22,id_506396_,385,mathcraft last solved a problem 10 days ago
23,id_161072_,384,fox0571 last solved a problem 2140 days ago
24,id_496041_,377,wwwwodddd last solved a problem 15 days ago
25,id_1129567_,364,aaahhh last solved a problem 17 days ago
26,id_94675_,361,chzhou last solved a problem 332 days ago
27,id_366024_,360,sevenkplus last solved a problem 11 days ago
28,id_153041_,353,(Slipper) last solved a problem 1294 days ago
29,id_134446_,339,ljq last solved a problem 1913 days ago
30,id_477782_,333,ftiasch last solved a problem 115 days ago
31,id_161821_,325,goalboy last solved a problem 2122 days ago
32,id_545499_,316,czp last solved a problem 4 days ago
33,id_63044_,315,int last solved a problem 84 days ago
34,id_943389_,315,mpanlei last solved a problem 52 days ago
35,id_28736_,312,zhzs last solved a problem 2765 days ago
36,id_188055_,311,vici last solved a problem 2 days ago
