rank,name,solved,recent
265,thebarbershop,67,588
266,(ikisis),67,37
267,ILyoan,66,2985
268,flaugh,66,2107
269,combacsa,66,2002
270,(lemonkr),66,1998
271,StarNK,66,1627
272,irisagfe,66,1163
273,hylee,66,1051
274,greatstone,66,947
275,laytotayl,65,3166
276,gs10107,65,2421
277,yxp30,65,1594
278,bookman01,65,1140
279,cguy2000,65,903
280,espring,65,429
281,nonblock,65,191
282,deity,65,182
283,Eclipse412,64,1760
284,cramade,64,1326
285,(yeori),64,800
286,kreateark,64,562
287,eltmzhsj,64,227
288,sherhy,64,208
289,krieiter,63,2004
290,sukwoo49,63,1776
291,kchhero,63,1500
292,wsh0509,63,1238
293,jooyunghan,63,972
294,Veckal,63,615
295,(ZTZEROS),63,594
296,jacealan,63,114
297,calvados,62,2298
298,comkiwer,62,2022
299,(kismp123),62,1640
300,swchoi06,62,1484
301,arcadia88,62,933
302,runnie0427,62,697
303,aviness,62,687
304,jw.jung,62,604
305,boyboyhoo,62,335
306,legend12,61,3844
307,oky,61,3140
308,i274,61,1493
309,JongMan,61,1119
310,hiparkgss,61,154
311,TaeYoung,60,2677
312,boredashell99,60,2543
313,bst1206,60,1587
314,coprime,60,1396
315,optatum,60,1168
316,zxcxz7,60,879
317,fanoyong,60,540
318,tyamazaki,60,537
319,lasher247,60,344
320,ssico7,60,337
321,totworld,59,2673
322,brp-matlab,59,1814
323,MagicalOrb,59,1742
324,protos37,59,1180
325,zephyr9,59,216
326,Holics,58,2375
327,(mighty93),58,1480
328,hakenstock,58,1332
329,(tintin5108),58,1226
330,nomadlife,58,10
331,unbing,57,3087
332,jhyun95,57,1791
333,siscos,57,1748
334,(jaehaaheaj),57,374
335,greatkes,56,3032
336,wildartist,56,2997
337,yojo1000,56,2929
338,ruwin126,56,2479
339,zidarn,56,2377
340,akmakk,56,2372
341,asimov79,56,2221
342,m.Shin,56,1998
343,(rynn5419),56,1611
344,(lkkpou),56,1293
345,luxewiz,56,544
346,qwe6580,56,186
347,mohenjo,56,7
348,kang249,55,3370
349,indrazit,55,1805
350,yeonseung.kim,55,1328
351,(DarkAngel),55,1290
352,yimjy1996,55,1170
353,(raifthenerd),55,106
354,shuvh,54,3283
355,shurain,54,3048
356,hongjun7,54,2528
357,Clatue,54,2416
358,(tjyoo73),54,330
359,bits_and_scraps,54,272
360,(yyc9268),54,37
361,samerook,53,3035
362,dbcat,53,2892
363,seoleda,53,2342
364,Mastojun,53,2331
365,yielding,53,2028
366,ruunak,53,1796
367,yunskim,53,1665
368,rhs0266,53,1313
369,etoilebleu06,53,1222
370,hyunhwan,53,1126
371,AmorEtSpero,53,1036
372,16spark1,53,120
373,dish,52,3328
374,ejholic,52,3256
375,codejack,52,3172
376,deisys,52,2889
377,yoloseem,52,1127
378,(albert_park),52,1034
379,yangjy0113,52,977
380,thumb,52,705
381,viciousagent86,52,350
382,john3374,51,2777
383,sinjimua,51,2677
384,singleheart,51,2043
385,boldragon,51,1843
386,sven_,51,1748
387,(spyrogira256),51,1668
388,eva0071,51,1593
389,glastonbury,51,1574
390,greentec,51,1546
391,ybjeon01,51,1042
392,(jins02),51,954
393,john-scarlet,51,764
394,hjl1595,51,726
395,freewild,51,240
396,Yearning,51,36
397,RisingCrow,50,4062
398,wmftsa,50,3013
399,Informatica_Kim,50,2854
400,kenjin2202,50,2708
