rank,name,solved,recent
1,(jaehyunp),583,1
2,hongraejo,412,1563
3,ainu7,330,881
4,shinminseon,330,29
5,allenjeon,316,0
6,sungmin817,311,67
7,(ssk),307,824
8,emppu,262,100
9,(sunleonid),261,1481
10,kcm1700,257,1248
11,thkang,243,1728
12,muse,240,5
13,JiminP,238,1388
14,noxnia,234,468
15,Bubbler,232,298
16,kanie,230,422
17,Baekjoon,228,748
18,Doju,220,281
19,ipkn,218,1259
20,communia,210,1679
21,zlzmsrhak,209,179
22,Iris_harp,208,2329
23,petdrow,206,472
24,(lakshimi),205,627
25,sharb,204,2759
26,l10veu,202,2537
27,changrak,201,286
28,00,199,1415
29,jjhangu2,199,715
30,stenhammar,193,3463
31,eyTns,193,521
32,svchost.exe,193,148
33,uws8505,189,3337
34,(mecatos95d),188,1031
35,bumsook,186,96
36,veshboo,184,155
37,udaque,181,1579
38,(wooyekim),178,1897
39,skim0119,177,15
40,optimizerjerry,176,2946
41,p.istrati,176,1841
42,alexum,171,10
43,Breakun,170,1279
44,lem,165,1402
45,ddaker,164,2479
46,Unused,164,442
47,jh05013,162,59
48,Teferi,161,2996
49,cfranck,161,0
50,gok01172,160,2702
51,yongwhan,160,1115
52,kimrip,158,984
53,choyb,157,3046
54,pjsdream,157,1094
55,zhuny,157,270
56,Frizzle,157,256
57,dalpaeng2,156,1004
58,(j1wan),153,694
59,Jungkeun,152,744
60,hillcanon,149,254
61,kjw0612,147,3146
62,absenty,142,2876
63,veblush,141,1940
64,tjfktj,141,779
65,larez,140,568
66,kyumyonglee,140,547
67,ychoi100,137,1374
68,(juncoder),134,1029
69,Kyoseon,133,2908
70,yadi0119,132,1625
71,HeeM,132,482
72,kgw0507,131,2564
73,hij8765,131,1528
74,colorized,131,492
75,(sy0414),130,722
76,Sait2000,130,25
77,bam8695,129,1059
78,hoo,128,2278
79,gsm291,128,2194
80,sehee382,127,2610
81,kazel,127,1260
82,rein01,125,3300
83,frigen,125,1774
84,go_to_dmc,125,691
85,dareun.geum,124,135
